#SRC:SGRA,DATE(MJD):57849,FREQ:228.1918GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
08.40138888,AA,AP,515826.7188,-1918698.7500,2.66730533,1.0530,0.00292750
08.40138888,AA,SP,-1043246016.0000,4691171328.0000,0.32935316,-1.4251,0.00564986
08.40138888,AP,SP,-1043761792.0000,4693089280.0000,0.33527661,9.6616,0.04605242
08.40416694,AA,AP,515333.0938,-1918877.8750,2.66349272,0.3726,0.00286438
08.40416694,AA,SP,-1040138560.0000,4691529216.0000,0.33796460,-1.0813,0.00574982
08.40416694,AP,SP,-1040653888.0000,4693447680.0000,0.35145565,5.2432,0.04327691
08.40694427,AA,AP,514829.1250,-1919060.2500,2.65966519,0.6565,0.00302325
08.40694427,AA,SP,-1036967104.0000,4691894272.0000,0.34523632,0.3363,0.00588935
08.40694427,AP,SP,-1037481920.0000,4693812736.0000,0.35377297,4.6422,0.04462817
08.40972233,AA,AP,514324.8750,-1919242.7500,2.65595190,-0.1490,0.00286445
08.40972233,AA,SP,-1033795136.0000,4692257280.0000,0.30025846,-0.4609,0.00511275
08.40972233,AP,SP,-1034309440.0000,4694176768.0000,0.30530270,10.1997,0.04851396
08.41249967,AA,AP,513820.3750,-1919424.8750,2.65269483,0.0177,0.00296813
08.41249967,AA,SP,-1030622656.0000,4692619264.0000,0.29360559,0.9978,0.00502920
08.41249967,AP,SP,-1031136512.0000,4694538240.0000,0.29404013,-5.0703,0.05112708
08.41527772,AA,SP,-1027449600.0000,4692980736.0000,0.25024967,-0.7960,0.00448142
08.41527772,AP,SP,-1027962944.0000,4694900224.0000,0.26039391,-6.9312,0.05360118
08.41805577,AA,AP,512810.5000,-1919788.5000,2.64602458,0.1640,0.00292693
08.41805577,AA,SP,-1024276032.0000,4693340672.0000,0.33170851,-1.0953,0.00580094
08.41805577,AP,SP,-1024788736.0000,4695260160.0000,0.33618078,6.5210,0.04351872
08.42083311,AA,AP,512305.1562,-1919970.1250,2.64305722,1.2375,0.00297777
08.42083311,AA,SP,-1021101824.0000,4693699072.0000,0.35366742,0.6270,0.00613013
08.42083311,AP,SP,-1021614144.0000,4695619072.0000,0.35872419,-1.8406,0.04185893
08.42361116,AA,AP,511799.5312,-1920151.7500,2.64015788,0.1735,0.00283339
08.42361116,AA,SP,-1017927104.0000,4694056960.0000,0.27384439,0.0024,0.00486539
08.42361116,AP,SP,-1018438848.0000,4695976960.0000,0.27627518,2.7699,0.05002041
08.42638922,AA,AP,511293.5938,-1920333.1250,2.63724289,1.4785,0.00290920
08.42638922,AA,SP,-1014751808.0000,4694413312.0000,0.29443985,0.8990,0.00525365
08.42638922,AP,SP,-1015263168.0000,4696333824.0000,0.29199268,15.4922,0.04753179
08.42916656,AA,AP,510787.4062,-1920514.1250,2.63453459,-0.8806,0.00297458
08.42916656,AA,SP,-1011576128.0000,4694768640.0000,0.27633167,-0.6487,0.00480812
08.42916656,AP,SP,-1012086848.0000,4696689664.0000,0.28043056,7.2659,0.05304952
08.43194461,AA,AP,510280.9688,-1920694.8750,2.63208575,1.3277,0.00295452
08.43194461,AA,SP,-1008399744.0000,4695122944.0000,0.28092495,-1.6605,0.00505617
08.43194461,AP,SP,-1008909952.0000,4697043456.0000,0.27318529,3.1356,0.05005622
08.43472195,AA,AP,509774.2500,-1920875.6250,2.62956474,0.3610,0.00292919
08.43472195,AA,SP,-1005222848.0000,4695476224.0000,0.30233816,0.0777,0.00543889
08.43472195,AP,SP,-1005732672.0000,4697397760.0000,0.30650614,8.8121,0.04598539
08.43750000,AA,AP,509267.2500,-1921056.3750,2.62726456,0.6186,0.00300221
08.43750000,AA,SP,-1002045440.0000,4695828480.0000,0.27196146,1.5489,0.00492146
