#SRC:SGRA,DATE(MJD):57849,FREQ:229.0707GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
08.40138888,AA,AP,518460.3125,-1926582.5000,2.66557847,-1.1774,0.00292970
08.40138888,AA,SP,-1035592704.0000,4710094336.0000,0.33504403,-2.4845,0.00567807
08.40416694,AA,AP,517952.4375,-1926765.8750,2.66205439,-1.1470,0.00293378
08.40416694,AA,SP,-1032406400.0000,4710459904.0000,0.33236584,-3.7599,0.00573158
08.40694427,AA,AP,517444.3125,-1926949.0000,2.65818389,-1.1103,0.00309544
08.40694427,AA,SP,-1029219648.0000,4710824448.0000,0.33563345,-1.6154,0.00588049
08.40972233,AA,AP,516935.9062,-1927132.0000,2.65457390,-1.0930,0.00292872
08.40972233,AA,SP,-1026032256.0000,4711187968.0000,0.29163375,-2.1974,0.00507453
08.40972233,AP,SP,-1026549184.0000,4713115136.0000,0.29106944,9.9379,0.04999676
08.41249967,AA,AP,516427.1875,-1927314.5000,2.65110036,-1.0650,0.00303740
08.41249967,AA,SP,-1022844224.0000,4711549952.0000,0.29490527,-3.3508,0.00515484
08.41249967,AP,SP,-1023360768.0000,4713477120.0000,0.29674562,-3.6607,0.05107195
08.41805577,AA,AP,515409.0312,-1927679.5000,2.64459316,-1.0624,0.00298701
08.41805577,AA,SP,-1016466816.0000,4712271360.0000,0.31452933,-0.7173,0.00558273
08.42083311,AA,AP,514899.5625,-1927861.5000,2.64146912,-1.0378,0.00304852
08.42083311,AA,SP,-1013277184.0000,4712630272.0000,0.32161558,-0.5174,0.00567390
08.42361116,AA,AP,514389.7500,-1928043.6250,2.63871513,-1.0129,0.00290520
08.42361116,AA,SP,-1010087104.0000,4712987648.0000,0.28023533,-0.3692,0.00506212
08.42361116,AP,SP,-1010601472.0000,4714915840.0000,0.28395854,1.9952,0.04931732
08.42638922,AA,AP,513879.6875,-1928225.2500,2.63562666,-0.9747,0.00298109
08.42638922,AA,SP,-1006896576.0000,4713344512.0000,0.28710286,-1.2684,0.00521675
08.42638922,AP,SP,-1007410368.0000,4715272704.0000,0.28489628,16.5198,0.04907302
08.42916656,AA,AP,513369.3438,-1928407.0000,2.63315117,-0.9675,0.00304113
08.42916656,AA,SP,-1003705344.0000,4713699840.0000,0.27853943,-0.5296,0.00495415
08.42916656,AP,SP,-1004218688.0000,4715628032.0000,0.28689325,7.3912,0.05265938
08.43194461,AA,AP,512858.7812,-1928588.5000,2.63055872,-0.9369,0.00301923
08.43194461,AA,SP,-1000513536.0000,4714054144.0000,0.27628634,0.2398,0.00510103
08.43194461,AP,SP,-1001026560.0000,4715982848.0000,0.26994867,7.1750,0.05072838
08.43472195,AA,AP,512347.8750,-1928769.7500,2.62828596,-0.8948,0.00300198
08.43472195,AA,SP,-997321344.0000,4714407424.0000,0.29021217,-0.5125,0.00535324
08.43472195,AP,SP,-997833728.0000,4716336128.0000,0.29293061,6.3113,0.04790362
08.43750000,AA,AP,511836.7188,-1928950.7500,2.62583092,-0.8416,0.00306448
08.43750000,AA,SP,-994128640.0000,4714759680.0000,0.27757209,-0.8118,0.00510037
08.43750000,AP,SP,-994640448.0000,4716688384.0000,0.28008591,1.6308,0.05131006
08.44027805,AA,AP,511325.2812,-1929131.7500,2.62373810,-0.8233,0.00305643
08.44027805,AA,SP,-990935296.0000,4715110400.0000,0.30141886,0.1813,0.00552576
08.44305539,AA,AP,510813.6250,-1929312.3750,2.62178364,-0.8231,0.00312466
08.44305539,AA,SP,-987741504.0000,4715460608.0000,0.29597432,-0.5026,0.00543515
08.44305539,AP,SP,-988252224.0000,4717389824.0000,0.28326871,7.0658,0.04892632
08.44583344,AA,AP,510301.6875,-1929493.0000,2.61985840,-0.7945,0.00312341
08.44583344,AA,SP,-984547072.0000,4715809280.0000,0.28156377,0.1502,0.00542840
08.44583344,AP,SP,-985057472.0000,4717738496.0000,0.29286168,-0.5497,0.04902569
08.44861078,AA,AP,509789.4062,-1929673.2500,2.61822854,-0.7664,0.00292164
08.44861078,AA,SP,-981352192.0000,4716156928.0000,0.28336765,-0.0495,0.00528207
08.44861078,AP,SP,-981862080.0000,4718086144.0000,0.28560586,-0.2762,0.04681416
08.45138884,AA,AP,509276.9062,-1929853.5000,2.61643044,-0.7071,0.00308305
08.45138884,AA,SP,-978156864.0000,4716503040.0000,0.28794838,-0.5476,0.00562314
08.45416689,AA,AP,508764.1250,-1930033.5000,2.61494479,-0.6892,0.00294514
08.45416689,AA,SP,-974960896.0000,4716848640.0000,0.27987156,-1.3940,0.00530666
08.45416689,AP,SP,-975469696.0000,4718778368.0000,0.28225741,-2.8441,0.04688098
08.45694423,AA,AP,508251.0938,-1930213.2500,2.61322246,-0.6537,0.00298381
08.45694423,AA,SP,-971764544.0000,4717192704.0000,0.26378316,-0.4750,0.00503123
