#SRC:SGRA,DATE(MJD):57849,FREQ:227.0707GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
08.40138888,AA,SP,-1026551040.0000,4668970496.0000,0.29971681,-4.1296,0.00487866
08.40138888,AP,SP,-1027065088.0000,4670880256.0000,0.30383777,2.3505,0.03415708
08.40416694,AA,AP,513430.2500,-1909943.5000,2.55444195,-1.6021,0.00268077
08.40416694,AP,SP,-1023906048.0000,4671243264.0000,0.24840368,13.9110,0.04272515
08.40694427,AP,SP,-1020746496.0000,4671604736.0000,0.30913566,-6.1321,0.03811907
08.40972233,AA,SP,-1017074112.0000,4670054912.0000,0.26406647,-3.8195,0.00432439
08.40972233,AP,SP,-1017586496.0000,4671965184.0000,0.28418323,3.7964,0.04542579
08.41249967,AA,AP,511918.3750,-1910487.2500,2.54353000,-1.5839,0.00274948
08.41249967,AA,SP,-1013913920.0000,4670413824.0000,0.30348274,-3.0475,0.00509832
08.41249967,AP,SP,-1014425856.0000,4672324608.0000,0.30039965,-11.2038,0.03525003
08.41527772,AA,AP,511413.8438,-1910668.3750,2.54019530,-1.6004,0.00268950
08.41527772,AA,SP,-1010753280.0000,4670771712.0000,0.28306160,-2.4494,0.00473454
08.41527772,AP,SP,-1011264704.0000,4672682496.0000,0.28729602,-12.7670,0.03715425
08.41805577,AA,AP,510909.0625,-1910849.1250,2.53716321,-1.4845,0.00271379
08.41805577,AA,SP,-1007592128.0000,4671128576.0000,0.27453194,-3.1774,0.00457783
08.41805577,AP,SP,-1008103040.0000,4673039360.0000,0.27715953,7.1806,0.03879400
08.42083311,AA,SP,-1004430464.0000,4671484416.0000,0.27556573,-2.8796,0.00469737
08.42361116,AA,SP,-1001268160.0000,4671839232.0000,0.28644001,-2.4150,0.00471015
08.42638922,AA,SP,-998105344.0000,4672192512.0000,0.28150079,-0.6945,0.00470224
08.42916656,AA,SP,-994942080.0000,4672544768.0000,0.28564769,-2.0062,0.00470339
08.43194461,AA,SP,-991778304.0000,4672896000.0000,0.28039751,-2.4421,0.00469992
08.43472195,AA,SP,-988613824.0000,4673246208.0000,0.27778513,-1.9893,0.00471096
08.44027805,AA,SP,-982283520.0000,4673943552.0000,0.26736890,-1.4826,0.00531619
08.44305539,AA,SP,-979117632.0000,4674290176.0000,0.26841784,-2.0756,0.00516194
08.44583344,AA,SP,-975951104.0000,4674635776.0000,0.26896123,-0.9295,0.00471002
08.44861078,AA,SP,-972784128.0000,4674980864.0000,0.27540684,-1.1167,0.00484253
08.45138884,AA,SP,-969616640.0000,4675323904.0000,0.27122595,-0.8106,0.00471330
08.45416689,AA,SP,-966448640.0000,4675665920.0000,0.27058543,-0.6252,0.00470750
08.45694423,AA,SP,-963280192.0000,4676007424.0000,0.26021404,-0.0430,0.00471000
08.45972228,AA,SP,-960110976.0000,4676347392.0000,0.27191961,0.0533,0.00469933
08.46250033,AA,SP,-956941504.0000,4676686336.0000,0.26187223,-0.2284,0.00491201
08.46527767,AA,SP,-953771456.0000,4677024256.0000,0.25840132,0.3697,0.00495097
08.46805573,AA,SP,-950600896.0000,4677360640.0000,0.25088566,-0.3574,0.00471899
08.47083306,AA,SP,-947429824.0000,4677696512.0000,0.25964692,0.0461,0.00471424
08.47361112,AA,SP,-944258240.0000,4678030848.0000,0.26359026,-0.0795,0.00470377
