#SRC:SGRA,DATE(MJD):57850,FREQ:226.1918GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
04.04583335,PV,SP,-896942976.0000,8532691968.0000,0.17755756,-29.2698,0.27474112
04.04861104,AA,PV,-3436658176.0000,-5522529792.0000,0.01243659,-173.4370,0.00508748
04.04861104,AA,SP,-4332184576.0000,3010327552.0000,0.18227068,-3.8508,0.00796375
04.04861104,PV,SP,-895526144.0000,8532857344.0000,0.02320425,-174.8979,0.05493244
04.05138874,AA,PV,-3438712064.0000,-5521313792.0000,0.03259094,-178.4626,0.00511064
04.05138874,PV,SP,-892801088.0000,8533173760.0000,0.11746734,-173.5023,0.05489669
04.05416679,AA,PV,-3440763904.0000,-5520097280.0000,0.00645256,-76.9044,0.00505968
04.05416679,AA,SP,-4330840064.0000,3013392640.0000,0.18317112,-0.0826,0.00792463
04.05416679,PV,SP,-890075712.0000,8533490176.0000,0.03586670,-166.7345,0.05486062
04.05694449,AA,PV,-3442814208.0000,-5518880256.0000,0.01060822,121.6268,0.00502388
04.05694449,AA,SP,-4330164224.0000,3014924544.0000,0.18745219,0.7893,0.00787051
04.05694449,PV,SP,-887349888.0000,8533804032.0000,0.02385788,31.3698,0.05482472
04.05972219,AA,PV,-3444862720.0000,-5517662208.0000,0.03974361,88.5007,0.00501233
04.05972219,AA,SP,-4329486336.0000,3016456448.0000,0.17857308,-3.5499,0.00785451
04.05972219,PV,SP,-884623616.0000,8534118400.0000,0.04206734,-29.8614,0.05478883
04.06249988,AA,PV,-3446909184.0000,-5516443648.0000,0.03430774,15.8482,0.00514518
04.06249988,AA,SP,-4328805888.0000,3017988096.0000,0.18095122,1.4013,0.00806520
04.06249988,PV,SP,-881896640.0000,8534432256.0000,0.07928752,-2.0231,0.05475293
04.06527793,AA,PV,-3448953856.0000,-5515224064.0000,0.04919929,26.7018,0.00516229
04.06527793,AA,SP,-4328123392.0000,3019519488.0000,0.18414374,1.0556,0.00809401
04.06527793,PV,SP,-879169344.0000,8534743552.0000,0.11656986,-11.6937,0.05471705
04.06805563,AA,PV,-3450996736.0000,-5514003968.0000,0.04610513,57.4919,0.00499456
04.06805563,AA,SP,-4327438336.0000,3021050624.0000,0.18309754,0.5270,0.00783327
04.06805563,PV,SP,-876441536.0000,8535054848.0000,0.08403681,-3.7810,0.05468118
04.07083333,AA,PV,-3453037568.0000,-5512783360.0000,0.03286295,-8.4569,0.00502669
04.07083333,AA,SP,-4326750720.0000,3022581504.0000,0.19098733,0.6826,0.00788547
04.07083333,PV,SP,-873713280.0000,8535364608.0000,0.07390415,100.5574,0.05464532
04.07361102,AA,PV,-3455076608.0000,-5511561728.0000,0.03299535,-140.5987,0.00499910
04.07361102,AA,SP,-4326061568.0000,3024112128.0000,0.17996161,0.5177,0.00784428
04.07361102,PV,SP,-870984512.0000,8535673856.0000,0.03794420,83.5412,0.05460947
04.07638872,AA,PV,-3457114112.0000,-5510339584.0000,0.04336726,116.4048,0.00497032
04.07638872,AA,SP,-4325369344.0000,3025642752.0000,0.17515514,-2.9488,0.00780156
