#SRC:SGRA,DATE(MJD):57850,FREQ:228.1918GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
12.46527815,AA,SM,6234479616.0000,-3375542784.0000,0.00771279,128.8482,0.00387362
12.46527815,AA,SP,3357566208.0000,4011928064.0000,0.12007877,0.0453,0.00508383
12.46527815,SM,SP,-2876913408.0000,7387471360.0000,0.04798628,92.0414,0.05628588
12.61805534,AA,JC,6205996544.0000,-3496721152.0000,0.04337726,31.8807,0.00929963
12.61805534,AA,SM,6206028288.0000,-3496699648.0000,0.03775131,27.3004,0.00501949
12.61805534,AP,JC,6206398464.0000,-3494766848.0000,0.03707851,-25.2707,0.04379805
12.61805534,AP,LM,1794909056.0000,-3732776960.0000,0.04368972,35.3767,0.01763365
12.61805534,AP,SM,6206404608.0000,-3494833152.0000,0.07040444,-3.2424,0.02482467
12.61805534,JC,SM,6995.1421,-66454.4609,2.28737974,-0.0000,0.08477742
12.61805534,LM,SM,4411496448.0000,237943808.0000,0.07157241,47.3889,0.03158115
12.61805534,LM,SP,1679224064.0000,7680052224.0000,0.02179506,126.6807,0.04167569
12.61805534,SM,SP,-2732378624.0000,7442069504.0000,0.06826640,78.3162,0.05636971
12.62083340,AA,AP,-401684.2500,-1953980.3750,2.28822263,-1.1217,0.00326632
12.62083340,AA,JC,6205435904.0000,-3498740992.0000,0.04394592,-6.1704,0.00582201
12.62083340,AA,LM,1793529344.0000,-3735315200.0000,0.08546415,0.8625,0.00290369
12.62083340,AA,SM,6205442560.0000,-3498807296.0000,0.04261126,-13.7161,0.00501765
12.62083340,AA,SP,3475625216.0000,3944189184.0000,0.13000355,-0.2079,0.00539941
12.62083340,AP,JC,6205837824.0000,-3496787200.0000,0.05701730,-65.5336,0.04629913
12.62083340,AP,LM,1793931008.0000,-3733361408.0000,0.07929452,6.3964,0.02315136
12.62083340,AP,SM,6205844992.0000,-3496853504.0000,0.09792739,14.7963,0.04003494
12.62083340,AP,SP,3476026880.0000,3946142976.0000,0.14529946,-8.2853,0.04302918
12.62083340,JC,LM,-4411907072.0000,-236574352.0000,0.09670592,-31.5856,0.04206091
12.62083340,JC,SM,7035.0757,-66456.8594,2.28593636,0.0000,0.07718378
12.62083340,JC,SP,-2729810688.0000,7442930688.0000,0.10740110,-113.3172,0.07968624
12.62083340,LM,SM,4411913216.0000,236507904.0000,0.07240274,20.8122,0.03572228
12.62083340,LM,SP,1682095744.0000,7679504896.0000,0.07714454,37.1755,0.03832761
12.62083340,SM,SP,-2729817856.0000,7442996224.0000,0.08811952,141.2622,0.06664315
12.62361145,AA,AP,-402240.5312,-1953838.6250,2.28697836,1.4372,0.00327080
12.62361145,AA,JC,6204823040.0000,-3500936704.0000,0.04351016,-19.4021,0.00751324
12.62361145,AA,LM,1792465024.0000,-3735949824.0000,0.04896474,7.1442,0.00302683
12.62361145,AA,SM,6204829696.0000,-3501003008.0000,0.04543700,-18.0669,0.00437113
12.62361145,AA,SP,3477681664.0000,3942958592.0000,0.14294681,0.4251,0.00562598
12.62361145,AP,JC,6205224960.0000,-3498982656.0000,0.09425073,48.9413,0.05517172
12.62361145,AP,LM,1792867328.0000,-3733996032.0000,0.06435344,12.2114,0.02230573
12.62361145,AP,SM,6205232640.0000,-3499048960.0000,0.02501958,-46.0556,0.03223380
12.62361145,AP,SP,3478083584.0000,3944912384.0000,0.16321713,9.6086,0.04143868
12.62361145,JC,LM,-4412357632.0000,-235013440.0000,0.03104667,50.2470,0.05220890
12.62361145,JC,SM,7078.4819,-66459.4688,2.28253174,-0.0000,0.07996047
12.62361145,LM,SM,4412365312.0000,234946976.0000,0.03989064,-32.7315,0.02993928
12.62361145,LM,SP,1685216384.0000,7678908928.0000,0.02884464,29.1009,0.03842366
12.62638950,AA,AP,-402796.5625,-1953696.8750,2.28479026,0.0782,0.00336126
12.62638950,AA,JC,6204206592.0000,-3503131648.0000,0.03762005,-39.5653,0.00786353
12.62638950,AA,LM,1791399680.0000,-3736584192.0000,0.07385075,-3.3302,0.00308942
12.62638950,AA,SM,6204214272.0000,-3503197952.0000,0.03538789,-42.9682,0.00423524
12.62638950,AA,SP,3479735552.0000,3941727232.0000,0.14852546,-2.0992,0.00573929
12.62638950,AP,JC,6204609536.0000,-3501178112.0000,0.03554706,-48.7296,0.05635229
12.62638950,AP,LM,1791802624.0000,-3734630144.0000,0.08944917,6.4822,0.02252145
12.62638950,AP,SM,6204616704.0000,-3501244672.0000,0.03278131,13.4171,0.03083531
12.62638950,AP,SP,3480138496.0000,3943680768.0000,0.13072839,22.3835,0.04179369
12.62638950,JC,LM,-4412807680.0000,-233452400.0000,0.09960831,-12.7588,0.05370942
12.62638950,JC,SM,7121.8896,-66462.1016,2.28229809,0.0000,0.07790805
12.62638950,JC,SP,-2724471296.0000,7444858880.0000,0.13223275,102.6196,0.10168446
12.62638950,LM,SM,4412814336.0000,233385936.0000,0.11175577,8.6135,0.02850797
12.62638950,LM,SP,1688335872.0000,7678311424.0000,0.08627264,-8.1107,0.03852604
12.62638950,SM,SP,-2724478208.0000,7444924928.0000,0.05492686,160.4573,0.05312646
12.62916613,AA,AP,-403352.4062,-1953554.7500,2.28309758,-0.4345,0.00330014
12.62916613,AA,JC,6203587072.0000,-3505326592.0000,0.03676551,6.3791,0.00686718
12.62916613,AA,LM,1790333440.0000,-3737217792.0000,0.05273639,-1.9158,0.00293039
12.62916613,AA,SM,6203594240.0000,-3505393408.0000,0.03785981,9.3958,0.00485611
12.62916613,AA,SP,3481788416.0000,3940495104.0000,0.13894195,-1.8225,0.00543753
12.62916613,AP,JC,6203991040.0000,-3503373056.0000,0.08854868,-15.4812,0.05407062
12.62916613,AP,LM,1790737024.0000,-3735264256.0000,0.07830390,12.2405,0.02341215
12.62916613,AP,SM,6203998208.0000,-3503439616.0000,0.01190204,-13.3200,0.03877022
12.62916613,AP,SP,3482191360.0000,3942448896.0000,0.12751539,-3.9899,0.04339944
12.62916613,JC,LM,-4413253632.0000,-231891168.0000,0.10385488,-68.9595,0.04965970
12.62916613,JC,SM,7165.2935,-66464.7500,2.27539754,0.0000,0.08710125
12.62916613,JC,SP,-2721799168.0000,7445821952.0000,0.13547745,-22.1906,0.09392646
12.62916613,LM,SM,4413260800.0000,231824704.0000,0.08342023,20.9952,0.03461381
12.62916613,LM,SP,1691454592.0000,7677712896.0000,0.04328372,-47.5769,0.03865169
12.62916613,SM,SP,-2721806336.0000,7445888000.0000,0.08643027,178.5597,0.06443240
12.63194418,AA,AP,-403908.0312,-1953412.3750,2.28128600,-0.4851,0.00323950
12.63194418,AA,JC,6202964992.0000,-3507521792.0000,0.04637058,25.9573,0.00780517
12.63194418,AA,LM,1789266432.0000,-3737851136.0000,0.05670602,-6.1140,0.00323963
12.63194418,AA,SM,6202972160.0000,-3507588096.0000,0.04481870,40.3176,0.00515088
