#SRC:SGRA,DATE(MJD):57849,FREQ:229.0707GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
08.40138888,AA,AP,518460.3125,-1926582.5000,0.99827725,-1.1774,0.00109719
08.40138888,AA,SP,-1035592704.0000,4710094336.0000,0.12547626,-2.4845,0.00212648
08.40416694,AA,AP,517952.4375,-1926765.8750,0.99823761,-1.1470,0.00110013
08.40416694,AA,SP,-1032406400.0000,4710459904.0000,0.12463309,-3.7599,0.00214927
08.40694427,AA,AP,517444.3125,-1926949.0000,0.99821218,-1.1103,0.00116241
08.40694427,AA,SP,-1029219648.0000,4710824448.0000,0.12603846,-1.6154,0.00220826
08.40972233,AA,AP,516935.9062,-1927132.0000,0.99822875,-1.0930,0.00110132
08.40972233,AA,SP,-1026032256.0000,4711187968.0000,0.10966626,-2.1974,0.00190823
08.40972233,AP,SP,-1026549184.0000,4713115136.0000,0.10945406,9.9379,0.01880083
08.41249967,AA,AP,516427.1875,-1927314.5000,0.99824095,-1.0650,0.00114370
08.41249967,AA,SP,-1022844224.0000,4711549952.0000,0.11104314,-3.3508,0.00194099
08.41249967,AP,SP,-1023360768.0000,4713477120.0000,0.11173611,-3.6607,0.01923055
08.41805577,AA,AP,515409.0312,-1927679.5000,0.99826860,-1.0624,0.00112752
08.41805577,AA,SP,-1016466816.0000,4712271360.0000,0.11872706,-0.7173,0.00210734
08.42083311,AA,AP,514899.5625,-1927861.5000,0.99825093,-1.0378,0.00115208
08.42083311,AA,SP,-1013277184.0000,4712630272.0000,0.12154337,-0.5174,0.00214425
08.42361116,AA,AP,514389.7500,-1928043.6250,0.99832113,-1.0129,0.00109914
08.42361116,AA,SP,-1010087104.0000,4712987648.0000,0.10602314,-0.3692,0.00191518
08.42361116,AP,SP,-1010601472.0000,4714915840.0000,0.10743176,1.9952,0.01865852
08.42638922,AA,AP,513879.6875,-1928225.2500,0.99821312,-0.9747,0.00112905
08.42638922,AA,SP,-1006896576.0000,4713344512.0000,0.10873689,-1.2684,0.00197578
08.42638922,AP,SP,-1007410368.0000,4715272704.0000,0.10790117,16.5198,0.01858584
08.42916656,AA,AP,513369.3438,-1928407.0000,0.99828611,-0.9675,0.00115296
08.42916656,AA,SP,-1003705344.0000,4713699840.0000,0.10560049,-0.5296,0.00187823
08.42916656,AP,SP,-1004218688.0000,4715628032.0000,0.10876760,7.3912,0.01996434
08.43194461,AA,AP,512858.7812,-1928588.5000,0.99826508,-0.9369,0.00114576
08.43194461,AA,SP,-1000513536.0000,4714054144.0000,0.10484731,0.2398,0.00193578
08.43194461,AP,SP,-1001026560.0000,4715982848.0000,0.10244224,7.1750,0.01925080
08.43472195,AA,AP,512347.8750,-1928769.7500,0.99831584,-0.8948,0.00114026
08.43472195,AA,SP,-997321344.0000,4714407424.0000,0.11023284,-0.5125,0.00203335
08.43472195,AP,SP,-997833728.0000,4716336128.0000,0.11126539,6.3113,0.01819549
08.43750000,AA,AP,511836.7188,-1928950.7500,0.99824916,-0.8416,0.00116501
08.43750000,AA,SP,-994128640.0000,4714759680.0000,0.10552321,-0.8118,0.00193898
08.43750000,AP,SP,-994640448.0000,4716688384.0000,0.10647887,1.6308,0.01950629
08.44027805,AA,AP,511325.2812,-1929131.7500,0.99827243,-0.8233,0.00116290
08.44027805,AA,SP,-990935296.0000,4715110400.0000,0.11468300,0.1813,0.00210243
08.44305539,AA,AP,510813.6250,-1929312.3750,0.99830133,-0.8231,0.00118978
08.44305539,AA,SP,-987741504.0000,4715460608.0000,0.11269868,-0.5026,0.00206955
08.44305539,AP,SP,-988252224.0000,4717389824.0000,0.10786074,7.0658,0.01862976
08.44583344,AA,AP,510301.6875,-1929493.0000,0.99829545,-0.7945,0.00119017
08.44583344,AA,SP,-984547072.0000,4715809280.0000,0.10728971,0.1502,0.00206849
08.44583344,AP,SP,-985057472.0000,4717738496.0000,0.11159477,-0.5497,0.01868121
08.44861078,AA,AP,509789.4062,-1929673.2500,0.99835673,-0.7664,0.00111405
08.44861078,AA,SP,-981352192.0000,4716156928.0000,0.10805092,-0.0495,0.00201411
08.44861078,AP,SP,-981862080.0000,4718086144.0000,0.10890437,-0.2762,0.01785071
08.45138884,AA,AP,509276.9062,-1929853.5000,0.99830952,-0.7071,0.00117635
08.45138884,AA,SP,-978156864.0000,4716503040.0000,0.10986786,-0.5476,0.00214553
08.45416689,AA,AP,508764.1250,-1930033.5000,0.99833790,-0.6892,0.00112440
08.45416689,AA,SP,-974960896.0000,4716848640.0000,0.10684982,-1.3940,0.00202598
08.45416689,AP,SP,-975469696.0000,4718778368.0000,0.10776069,-2.8441,0.01789830
08.45694423,AA,AP,508251.0938,-1930213.2500,0.99823279,-0.6537,0.00113979
08.45694423,AA,SP,-971764544.0000,4717192704.0000,0.10076333,-0.4750,0.00192189
08.45694423,AP,SP,-972272768.0000,4719122944.0000,0.10203941,-1.0519,0.01908121
08.45972228,AA,AP,507737.7500,-1930393.1250,0.99833725,-0.6285,0.00115045
08.45972228,AA,SP,-968567552.0000,4717535744.0000,0.10663364,-0.2627,0.00199330
08.45972228,AP,SP,-969075328.0000,4719465984.0000,0.10927173,14.7428,0.01856486
08.46250033,AA,AP,507224.1875,-1930572.5000,0.99827533,-0.6044,0.00111268
08.46250033,AA,SP,-965370048.0000,4717877760.0000,0.10136090,-0.3404,0.00201983
08.46250033,AP,SP,-965877248.0000,4719808512.0000,0.10334627,9.1734,0.01768340
08.46527767,AA,AP,506710.3438,-1930751.6250,0.99824786,-0.5670,0.00116878
08.46527767,AA,SP,-962172096.0000,4718218240.0000,0.09759416,-0.4792,0.00184135
08.46527767,AP,SP,-962678784.0000,4720149504.0000,0.10232684,3.5413,0.02037934
08.46805573,AA,AP,506196.2188,-1930930.7500,0.99828138,-0.4670,0.00118064
08.46805573,AA,SP,-958973632.0000,4718558208.0000,0.10166051,-0.0245,0.00200034
08.46805573,AP,SP,-959479744.0000,4720488960.0000,0.10621227,-27.7153,0.01891542
08.47083306,AA,AP,505681.8125,-1931109.5000,0.99823397,-0.4391,0.00112370
08.47083306,AA,SP,-955774592.0000,4718896640.0000,0.10989840,-0.4710,0.00214857
08.47361112,AA,AP,505167.1562,-1931288.2500,0.99832935,-0.4196,0.00114518
08.47361112,AA,SP,-952575040.0000,4719234048.0000,0.09312957,-0.7294,0.00187732
08.47361112,AP,SP,-953080256.0000,4721165312.0000,0.09774991,11.9627,0.01951257
08.47638917,AA,AP,504652.2188,-1931467.0000,0.99821462,-0.3826,0.00113595
08.47638917,AA,SP,-949375104.0000,4719570432.0000,0.09332820,1.5665,0.00180832
08.47638917,AP,SP,-949879744.0000,4721501696.0000,0.09246315,30.9264,0.02005084
08.47916651,AA,SP,-946174592.0000,4719905792.0000,0.09766671,-0.9764,0.00195338
08.47916651,AP,SP,-947511040.0000,4721750016.0000,0.10263509,-11.5560,0.02266945
08.48194456,AA,SP,-942973568.0000,4720239616.0000,0.09617601,0.6675,0.00196292
08.48472190,AA,SP,-939771968.0000,4720572416.0000,0.09752572,0.7927,0.00196079
08.48749995,AA,SP,-936569984.0000,4720904192.0000,0.09510598,1.1719,0.00196128
08.49027801,AA,SP,-933367424.0000,4721234944.0000,0.09225798,0.0392,0.00195472
08.49305534,AA,SP,-930164480.0000,4721564160.0000,0.09518818,0.5429,0.00195845
08.49583340,AA,SP,-926960960.0000,4721892864.0000,0.09281523,1.0934,0.00196302
08.49861145,AA,SP,-923756928.0000,4722220032.0000,0.09298219,2.6789,0.00195985
08.50138879,AA,SP,-920552384.0000,4722546176.0000,0.09764711,0.9379,0.00195572
08.50416684,AA,SP,-917347392.0000,4722870784.0000,0.09525786,1.3474,0.00195288
08.50694418,AA,SP,-914142016.0000,4723194880.0000,0.09414788,1.9634,0.00194844
08.50972223,AA,SP,-910935936.0000,4723517440.0000,0.09320565,0.7880,0.00194663
08.51250029,AA,SP,-907729536.0000,4723838976.0000,0.09633886,2.6704,0.00194104
08.51527762,AA,SP,-904522624.0000,4724159488.0000,0.09167107,1.5015,0.00194310
08.51805568,AA,SP,-901315200.0000,4724478464.0000,0.08830578,0.8044,0.00194291
08.52083302,AA,SP,-898107328.0000,4724796928.0000,0.09157903,1.5849,0.00193918
08.52361107,AA,SP,-894898944.0000,4725113856.0000,0.09026205,1.3026,0.00193641
08.52638912,AA,SP,-891690112.0000,4725429760.0000,0.09306016,2.1775,0.00193056
08.52916646,AA,SP,-888480832.0000,4725744128.0000,0.09166630,2.2225,0.00192774
08.53194451,AA,SP,-885271040.0000,4726057984.0000,0.09042091,2.2745,0.00193047
08.58472252,AA,SP,-824197504.0000,4731801088.0000,0.09582352,-0.4419,0.00190233
08.58749986,AA,SP,-820978688.0000,4732091904.0000,0.10785105,-0.2877,0.00216798
08.58749986,AP,SP,-821462528.0000,4734030336.0000,0.11022559,7.9161,0.01540872
08.59027791,AA,AP,483312.0312,-1938629.3750,0.99823940,-0.9516,0.00112275
08.59027791,AA,SP,-817759360.0000,4732381696.0000,0.10667949,-0.5395,0.00202789
08.59027791,AP,SP,-818242624.0000,4734320128.0000,0.10787376,-8.3081,0.01638009
08.59305525,AA,AP,482786.1250,-1938800.1250,0.99823490,-0.9345,0.00112327
08.59305525,AA,SP,-814539584.0000,4732669952.0000,0.10880699,-0.3698,0.00202916
08.59305525,AP,SP,-815022400.0000,4734608896.0000,0.11086641,-2.4040,0.01634852
08.59583330,AA,AP,482259.8750,-1938970.7500,0.99817765,-0.9729,0.00112176
08.59583330,AA,SP,-811319424.0000,4732957696.0000,0.10715336,-0.7035,0.00204840
08.59583330,AP,SP,-811801664.0000,4734896640.0000,0.10569498,9.9143,0.01616697
08.59861135,AA,SP,-808098752.0000,4733243904.0000,0.09778670,-0.7459,0.00187650
08.60138869,AA,SP,-804877760.0000,4733529088.0000,0.10213628,-0.8014,0.00187420
08.60416675,AA,SP,-801656192.0000,4733813248.0000,0.10280875,-1.3985,0.00187227
