#SRC:SGRA,DATE(MJD):57849,FREQ:226.1918GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
08.40138888,AA,SP,-1034102272.0000,4650054656.0000,0.11763087,1.2412,0.00195302
08.40138888,AP,SP,-1034613504.0000,4651956224.0000,0.11937326,3.8160,0.01362007
08.40416694,AA,AP,510816.3438,-1902059.3750,0.99967610,0.4410,0.00104622
08.40416694,AA,SP,-1031022016.0000,4650409472.0000,0.10155617,-2.2243,0.00165245
08.40694427,AA,AP,510316.8125,-1902240.5000,0.99962551,0.5053,0.00110788
08.40694427,AP,SP,-1028388800.0000,4652673024.0000,0.12095698,-5.9213,0.01487877
08.40972233,AA,SP,-1024734336.0000,4651130880.0000,0.10585535,-2.1457,0.00170498
08.41249967,AA,AP,509316.9062,-1902601.7500,0.99966331,-0.0093,0.00107419
08.41249967,AA,SP,-1021589632.0000,4651490304.0000,0.11875543,0.8914,0.00196831
08.41249967,AP,SP,-1022098880.0000,4653392896.0000,0.12209020,-4.7720,0.01404321
08.41527772,AA,AP,508816.5312,-1902782.3750,0.99969106,0.8143,0.00105824
08.41527772,AA,SP,-1018444288.0000,4651848192.0000,0.11645503,0.9997,0.00192906
08.41527772,AP,SP,-1018953152.0000,4653750784.0000,0.11832374,-12.4790,0.01414445
08.41805577,AA,AP,508325.9375,-1902958.6250,0.99967958,-0.3342,0.00109390
08.41805577,AA,SP,-1015298560.0000,4652205056.0000,0.10706916,-0.1600,0.00177689
08.42083311,AA,SP,-1012152256.0000,4652560384.0000,0.10914480,-0.7138,0.00185226
08.42361116,AA,SP,-1009005248.0000,4652915200.0000,0.11407995,-2.0438,0.00185916
08.42638922,AA,SP,-1005857920.0000,4653268480.0000,0.11139309,1.8710,0.00185836
08.42916656,AA,SP,-1002709952.0000,4653620736.0000,0.11457716,-1.1748,0.00186060
08.43194461,AA,SP,-999561472.0000,4653971968.0000,0.11232587,-0.7368,0.00186110
08.43472195,AA,SP,-996412480.0000,4654322176.0000,0.11156753,-1.2459,0.00186721
08.44027805,AA,SP,-990112896.0000,4655019008.0000,0.10869536,-0.4383,0.00212605
08.44305539,AA,SP,-986962176.0000,4655365632.0000,0.10924672,0.0205,0.00205114
08.44583344,AA,SP,-983811072.0000,4655711744.0000,0.10781483,-0.5400,0.00187318
08.44861078,AA,SP,-980659392.0000,4656055808.0000,0.11143976,0.1832,0.00192703
08.45138884,AA,SP,-977507200.0000,4656399360.0000,0.10841520,0.3965,0.00187689
08.45416689,AA,SP,-974354432.0000,4656741888.0000,0.10942033,-0.2911,0.00187569
08.45694423,AA,SP,-971201216.0000,4657082880.0000,0.10491095,1.1318,0.00187794
08.45972228,AA,SP,-968047424.0000,4657422848.0000,0.10947755,0.0848,0.00187452
08.46250033,AA,SP,-964893184.0000,4657761792.0000,0.10298661,-3.2731,0.00195433
08.46527767,AA,SP,-961738432.0000,4658099200.0000,0.10430600,-1.6453,0.00198266
08.46805573,AA,SP,-958583104.0000,4658436608.0000,0.10221523,-0.0829,0.00188487
08.47083306,AA,SP,-955427264.0000,4658771968.0000,0.10538351,-0.2557,0.00188382
08.47361112,AA,SP,-952270976.0000,4659106816.0000,0.10625901,0.6576,0.00188010
08.47638917,AA,SP,-949114048.0000,4659440128.0000,0.10387324,-0.3971,0.00188800
08.47916651,AA,SP,-945956736.0000,4659772416.0000,0.10098340,1.5410,0.00192109
08.48749995,AA,SP,-936481664.0000,4660762624.0000,0.10239657,0.4040,0.00189433
08.49027801,AA,SP,-933322368.0000,4661090304.0000,0.10511244,-0.9066,0.00189040
08.49305534,AA,SP,-930162496.0000,4661416960.0000,0.09747982,-0.3572,0.00189707
08.49583340,AA,SP,-927002176.0000,4661742592.0000,0.09973931,-0.7793,0.00190211
08.49861145,AA,SP,-923841408.0000,4662066688.0000,0.09913760,2.1729,0.00189796
08.50138879,AA,SP,-920679936.0000,4662390272.0000,0.10274866,-0.1247,0.00189873
08.50416684,AA,SP,-917518208.0000,4662712320.0000,0.09673301,-0.5863,0.00189547
08.50694418,AA,SP,-914355776.0000,4663033344.0000,0.09623859,0.4953,0.00189353
08.50972223,AA,SP,-911192960.0000,4663353344.0000,0.10001336,0.0214,0.00189396
08.51250029,AA,SP,-908029632.0000,4663672320.0000,0.09463798,-1.0692,0.00189381
08.51527762,AA,SP,-904865856.0000,4663990272.0000,0.09556611,2.3698,0.00189277
08.51805568,AA,SP,-901701568.0000,4664306688.0000,0.09761873,0.1963,0.00189399
08.52083302,AA,SP,-898536896.0000,4664622080.0000,0.09668842,-0.3450,0.00189480
08.52361107,AA,SP,-895371648.0000,4664936448.0000,0.09407327,0.5368,0.00189443
08.52638912,AA,SP,-892205888.0000,4665249792.0000,0.09608879,0.2595,0.00188910
08.52916646,AA,SP,-889039680.0000,4665561600.0000,0.09655784,-0.5943,0.00189064
08.53194451,AA,SP,-885873088.0000,4665872896.0000,0.09552224,-0.8236,0.00189056
08.58472252,AP,SP,-825905664.0000,4673499648.0000,0.09323893,22.6842,0.01525383
08.58749986,AA,AP,477271.1875,-1913615.7500,0.99985195,-0.0909,0.00105472
08.58749986,AA,SP,-822442624.0000,4671857664.0000,0.09706167,1.1662,0.00176903
08.58749986,AP,SP,-822919872.0000,4673771008.0000,0.10094133,-10.0554,0.01575363
08.59027791,AA,AP,476754.1562,-1913784.8750,0.99961666,0.0256,0.00105662
08.59027791,AA,SP,-819266368.0000,4672144896.0000,0.09701573,-0.1468,0.00174868
08.59027791,AP,SP,-819743104.0000,4674058752.0000,0.09787090,1.2508,0.01595707
08.59305525,AA,AP,476236.8750,-1913953.7500,0.99968012,1.2469,0.00105134
08.59305525,AA,SP,-816089664.0000,4672431104.0000,0.10399602,1.5182,0.00175315
08.59305525,AP,SP,-816565888.0000,4674344960.0000,0.10754644,6.4870,0.01582797
08.59583330,AA,SP,-812912576.0000,4672716288.0000,0.09248055,0.5130,0.00162424
08.59583330,AP,SP,-813388288.0000,4674630656.0000,0.09556710,6.1940,0.01740612
08.59861135,AA,AP,475201.5312,-1914290.8750,0.99963902,0.1976,0.00105603
08.59861135,AA,SP,-809734976.0000,4673000448.0000,0.11456568,-1.8471,0.00195865
08.59861135,AP,SP,-810210176.0000,4674914304.0000,0.11717195,-9.2422,0.01421613
08.60138869,AA,AP,474683.5312,-1914459.0000,0.99967463,-0.3771,0.00105068
08.60138869,AA,SP,-806556992.0000,4673283584.0000,0.12172794,-1.2373,0.00205907
08.60138869,AP,SP,-807031680.0000,4675197440.0000,0.12270828,5.4386,0.01344848
08.60416675,AA,SP,-803378560.0000,4673565184.0000,0.10467982,-0.0308,0.00181323
08.60416675,AP,SP,-803852736.0000,4675480064.0000,0.10625423,9.9049,0.01492344
08.60694480,AA,AP,473646.5938,-1914795.1250,0.99967506,-0.6755,0.00105032
08.60694480,AA,SP,-800199680.0000,4673845760.0000,0.10710473,1.5350,0.00182783
08.60694480,AP,SP,-800673344.0000,4675760640.0000,0.10903043,-7.6543,0.01512644
08.60972214,AA,AP,473127.7812,-1914962.8750,0.99961175,0.4113,0.00105407
08.60972214,AA,SP,-797020416.0000,4674125312.0000,0.11967264,2.3487,0.00197251
08.60972214,AP,SP,-797493504.0000,4676040192.0000,0.12466267,-10.3496,0.01406180
08.61250019,AA,SP,-793840704.0000,4674403840.0000,0.10660621,-0.7763,0.00171371
08.61250019,AP,SP,-794313280.0000,4676319232.0000,0.11110511,-7.7806,0.01630208
08.61527753,AA,SP,-790660544.0000,4674681344.0000,0.10443102,1.0728,0.00172586
08.61527753,AP,SP,-791132672.0000,4676596736.0000,0.10546027,-4.1642,0.01551250
08.61805558,AA,AP,471569.8750,-1915465.0000,0.99968704,-0.5681,0.00104540
08.61805558,AA,SP,-787480000.0000,4674957312.0000,0.10924590,2.0759,0.00179039
08.61805558,AP,SP,-787951552.0000,4676872704.0000,0.11092757,-1.9150,0.01534031
08.62083364,AA,AP,471050.0625,-1915632.0000,0.99963439,0.1222,0.00105214
08.62083364,AA,SP,-784299008.0000,4675232768.0000,0.11477923,-2.1458,0.00187685
08.62083364,AP,SP,-784770048.0000,4677148160.0000,0.11592863,4.0172,0.01472398
08.62361097,AA,SP,-781117568.0000,4675506176.0000,0.11341411,-0.3661,0.00179063
08.62361097,AP,SP,-781588096.0000,4677422080.0000,0.11480347,0.3671,0.01616755
08.62638903,AA,AP,470009.6250,-1915965.5000,0.99963051,0.4749,0.00105132
08.62638903,AA,SP,-777935744.0000,4675779072.0000,0.11414075,-2.0533,0.00181068
08.62638903,AP,SP,-778405824.0000,4677695488.0000,0.11700726,-0.3565,0.01523556
08.62916636,AA,AP,469489.0625,-1916131.8750,0.99963015,0.7931,0.00105007
08.62916636,AA,SP,-774753536.0000,4676050944.0000,0.12299895,-1.3391,0.00191749
08.62916636,AP,SP,-775223040.0000,4677967360.0000,0.12244966,0.1727,0.01436247
08.63194442,AA,AP,468968.1562,-1916298.1250,0.99961684,-0.2262,0.00105319
08.63194442,AA,SP,-771570880.0000,4676321280.0000,0.12000143,-0.7817,0.00184597
08.63194442,AP,SP,-772039808.0000,4678237696.0000,0.12239756,12.9266,0.01495723
08.63472247,AA,AP,468447.1250,-1916464.1250,0.99965873,-0.4865,0.00104061
08.63472247,AA,SP,-768387840.0000,4676591104.0000,0.12354261,-1.6914,0.00189574
08.63472247,AP,SP,-768856192.0000,4678507520.0000,0.12669217,9.0376,0.01438399
08.63749981,AA,AP,467925.7812,-1916630.1250,0.99971342,-0.9589,0.00105093
08.63749981,AA,SP,-765204288.0000,4676859392.0000,0.13638203,2.2664,0.00201421
08.63749981,AP,SP,-765672256.0000,4678775808.0000,0.13802950,-4.6208,0.01366810
08.64027786,AA,AP,467404.1875,-1916795.7500,0.99960805,0.3047,0.00106788
08.64027786,AA,SP,-762020480.0000,4677126656.0000,0.11124039,-0.1034,0.00169661
08.64027786,AP,SP,-762487808.0000,4679043072.0000,0.11305742,4.2111,0.01647331
08.64305520,AA,AP,466882.3125,-1916961.3750,0.99979199,0.0209,0.00104202
08.64305520,AA,SP,-758836160.0000,4677392384.0000,0.12637887,1.4947,0.00188913
08.64305520,AP,SP,-759303040.0000,4679309312.0000,0.12692462,0.6345,0.01443664
08.64583325,AA,AP,466360.2500,-1917126.7500,0.99962257,0.3183,0.00108780
08.64583325,AA,SP,-755651392.0000,4677657600.0000,0.13101290,-0.5082,0.00194017
08.64583325,AP,SP,-756117824.0000,4679574528.0000,0.13272080,-1.3914,0.01465259
08.64861131,AA,AP,465837.9375,-1917291.7500,0.99975748,0.2179,0.00113938
08.64861131,AA,SP,-752466304.0000,4677921280.0000,0.12138019,0.3754,0.00179026
08.64861131,AP,SP,-752932224.0000,4679838208.0000,0.12500544,-0.7372,0.01658423
08.65138865,AA,AP,465315.3438,-1917456.7500,0.99955389,-0.0937,0.00108192
08.65138865,AA,SP,-749280832.0000,4678183936.0000,0.13378221,0.9160,0.00192240
08.65138865,AP,SP,-749746176.0000,4680101376.0000,0.13531326,9.5811,0.01471305
08.65416670,AA,AP,464792.5000,-1917621.7500,0.99958036,0.2043,0.00113369
08.65416670,AA,SP,-746094912.0000,4678445568.0000,0.13135510,-0.6081,0.00192420
08.65416670,AP,SP,-746559744.0000,4680363008.0000,0.13356356,-8.6280,0.01538928
08.65694475,AA,AP,464269.4062,-1917786.3750,0.99966289,0.1174,0.00115077
08.65694475,AA,SP,-742908672.0000,4678706176.0000,0.13670704,1.1173,0.00193677
08.65694475,AP,SP,-743372928.0000,4680623616.0000,0.13969372,-0.1018,0.01551298
08.65972209,AA,AP,463746.0625,-1917950.7500,0.99967416,0.0363,0.00116172
08.65972209,AA,SP,-739721920.0000,4678965248.0000,0.13783986,-1.0954,0.00196591
08.65972209,AP,SP,-740185600.0000,4680883200.0000,0.13980941,4.0716,0.01539703
08.66250014,AA,AP,463222.4688,-1918114.8750,0.99967854,-0.4685,0.00113412
08.66250014,AA,SP,-736534848.0000,4679223296.0000,0.13090074,0.8092,0.00186045
08.66250014,AP,SP,-736998080.0000,4681141248.0000,0.13250104,-11.8814,0.01591077
08.66527748,AA,AP,462698.6250,-1918278.8750,0.99964369,0.2392,0.00110784
08.66527748,AA,SP,-733347328.0000,4679480320.0000,0.12661897,0.3762,0.00177811
08.66527748,AP,SP,-733810048.0000,4681398784.0000,0.12739160,3.5940,0.01627186
08.66805553,AA,AP,462174.5625,-1918442.7500,0.99976272,0.5735,0.00111527
08.66805553,AA,SP,-730159424.0000,4679736320.0000,0.12565550,-0.7103,0.00175621
08.66805553,AP,SP,-730621632.0000,4681654784.0000,0.12583276,8.3806,0.01657864
08.67083359,AA,AP,461650.2500,-1918606.5000,0.99967140,-1.0505,0.00107183
08.67083359,AA,SP,-726971200.0000,4679991296.0000,0.13350177,0.9977,0.00178204
08.67083359,AP,SP,-727432832.0000,4681909760.0000,0.13431197,1.0455,0.01569253
08.67361093,AA,AP,461125.6562,-1918769.8750,0.99972072,0.3935,0.00106264
08.67361093,AA,SP,-723782528.0000,4680244736.0000,0.12891540,1.4145,0.00171110
08.67361093,AP,SP,-724243648.0000,4682163712.0000,0.12979977,-4.0188,0.01619786
08.67638898,AA,AP,460600.8125,-1918933.2500,0.99969647,-0.3840,0.00105473
08.67638898,AA,SP,-720593472.0000,4680497152.0000,0.13327630,0.6615,0.00179352
08.67638898,AP,SP,-721054080.0000,4682416128.0000,0.13386789,5.6163,0.01533322
08.67916632,AA,SP,-717404032.0000,4680748544.0000,0.13962068,1.4718,0.00184695
08.68194437,AA,SP,-714214208.0000,4680998912.0000,0.14001975,-0.8317,0.00185251
08.68472242,AA,SP,-711024000.0000,4681248256.0000,0.14084577,0.5131,0.00185687
08.68749976,AA,SP,-707833344.0000,4681496064.0000,0.14266638,1.6462,0.00184595
08.69027781,AA,SP,-704642432.0000,4681742848.0000,0.14238358,-0.3765,0.00184163
08.69305587,AA,SP,-701451072.0000,4681988608.0000,0.14444342,2.0013,0.00184463
08.69583321,AA,SP,-698259392.0000,4682233344.0000,0.14371121,-1.0685,0.00184630
08.69861126,AA,SP,-695067264.0000,4682477056.0000,0.14450297,1.4567,0.00184644
08.70138860,AA,SP,-691874816.0000,4682719232.0000,0.14861908,-0.5845,0.00185000
08.70416665,AA,SP,-688681984.0000,4682960384.0000,0.14765214,-1.4942,0.00184465
08.70694470,AA,SP,-685488768.0000,4683200512.0000,0.14545541,0.1819,0.00184369
08.90138912,AZ,LM,-368832032.0000,416142560.0000,0.91532446,-3.4593,0.07433003
08.90138912,AZ,SP,-3009100544.0000,7773147648.0000,0.08666088,-25.8251,0.05193779
08.90138912,LM,SP,-2640268544.0000,7357004800.0000,0.04515051,-36.5884,0.04144566
08.90416646,AA,AZ,2549351680.0000,-3076773632.0000,0.13367955,-3.7766,0.00338707
08.90416646,AA,LM,2179849216.0000,-2660509440.0000,0.07888549,-0.5161,0.00234822
08.90416646,AZ,LM,-369502432.0000,416264192.0000,0.91485591,-3.5538,0.05824035
08.90416646,AZ,SP,-3007285504.0000,7774127616.0000,0.13210632,-111.5239,0.04722729
08.90694451,AA,AZ,2550592768.0000,-3077679872.0000,0.13524779,-2.8298,0.00333543
08.90694451,AA,LM,2180361728.0000,-2661283072.0000,0.09659513,-2.0654,0.00277192
08.90694451,AZ,LM,-370230976.0000,416396640.0000,0.91456350,-4.6448,0.06974353
08.90694451,AZ,SP,-3005311744.0000,7775192064.0000,0.13679446,-100.6307,0.04721992
08.90972257,AA,AZ,2551832832.0000,-3078586112.0000,0.13158663,-2.8441,0.00333233
08.90972257,AA,LM,2180873472.0000,-2662056960.0000,0.10515545,-1.3133,0.00289885
08.90972257,AZ,LM,-370959296.0000,416529344.0000,0.91429376,-8.2174,0.07293472
08.90972257,AZ,SP,-3003336192.0000,7776256000.0000,0.11457875,-152.2517,0.04721281
08.90972257,LM,SP,-2632376832.0000,7359726592.0000,0.06099389,-55.3711,0.04107855
08.91249990,AA,AZ,2553071360.0000,-3079493376.0000,0.13197188,0.6838,0.00333417
08.91249990,AA,LM,2181383936.0000,-2662831104.0000,0.09339027,1.3456,0.00273696
08.91249990,AZ,LM,-371687424.0000,416662304.0000,0.91423174,-13.5571,0.06875754
08.91249990,AZ,SP,-3001358848.0000,7777319424.0000,0.02832901,147.3553,0.04720595
08.91527796,AA,LM,2181893120.0000,-2663605248.0000,0.09168096,-1.2251,0.00321668
08.91527796,AZ,LM,-372415360.0000,416795520.0000,0.91412317,-6.4341,0.06444854
08.91527796,AZ,SP,-2999380224.0000,7778381312.0000,0.07278616,-122.7125,0.04719935
08.91805530,AZ,LM,-373143104.0000,416929024.0000,0.91386962,-10.0395,0.06875942
08.91805530,AZ,SP,-2997399552.0000,7779443712.0000,0.04651494,-106.0780,0.04719322
08.91805530,LM,SP,-2624256512.0000,7362514944.0000,0.03734283,-107.3613,0.03882262
08.92083335,AZ,LM,-373870656.0000,417062752.0000,0.91375829,-3.0593,0.06480182
08.92083335,AZ,SP,-2995417600.0000,7780504576.0000,0.04057571,51.8775,0.04718692
08.92083335,LM,SP,-2621547008.0000,7363442688.0000,0.01012466,129.1439,0.03661770
08.92361140,AA,AZ,2558061056.0000,-3083162112.0000,0.13208808,-0.0618,0.00348647
08.92361140,AA,LM,2183433984.0000,-2665959936.0000,0.08392623,2.1850,0.00267767
08.92361140,AA,SP,-435293504.0000,4698445312.0000,0.16043036,1.2498,0.00197147
08.92361140,AZ,LM,-374597984.0000,417196736.0000,0.91358210,-1.4853,0.06409229
08.92361140,AZ,SP,-2993433856.0000,7781565440.0000,0.09468919,-145.0652,0.04718108
08.92361140,LM,SP,-2618835968.0000,7364368384.0000,0.03225589,-41.3293,0.03624631
08.92638874,AA,AZ,2559243520.0000,-3084035072.0000,0.13901665,-2.6904,0.00336126
08.92638874,AA,LM,2183918336.0000,-2666704128.0000,0.08978042,5.3776,0.00276447
08.92638874,AA,SP,-432205216.0000,4698589696.0000,0.16141363,-0.7178,0.00190245
08.92638874,AZ,LM,-375325120.0000,417330976.0000,0.91333125,-8.0685,0.06856076
08.92638874,AZ,SP,-2991448832.0000,7782624768.0000,0.02789055,65.2360,0.04717549
08.92638874,LM,SP,-2616123648.0000,7365293568.0000,0.05025053,-36.1202,0.03880462
08.92916679,AA,AZ,2560473856.0000,-3084944384.0000,0.13357334,-2.5551,0.00333358
08.92916679,AA,LM,2184421632.0000,-2667479040.0000,0.09141447,-0.2574,0.00286259
08.92916679,AA,SP,-428988032.0000,4698739200.0000,0.16063492,0.6906,0.00188790
08.92916679,AZ,LM,-376052032.0000,417465504.0000,0.91307419,-10.3836,0.07152370
08.92916679,AZ,SP,-2989461760.0000,7783684096.0000,0.02516023,-118.1115,0.04717015
08.92916679,LM,SP,-2613409792.0000,7366218240.0000,0.03731620,-58.7201,0.04051498
08.93194413,AA,AZ,2561702912.0000,-3085854720.0000,0.13765886,-3.1500,0.00333058
08.93194413,AA,LM,2184924160.0000,-2668254464.0000,0.09568471,2.7353,0.00273470
08.93194413,AA,SP,-425770592.0000,4698887680.0000,0.16107977,1.5259,0.00188774
08.93194413,AZ,LM,-376778784.0000,417600256.0000,0.91297861,-6.1875,0.06832675
08.93194413,AZ,SP,-2987473152.0000,7784742400.0000,0.08172454,-148.1343,0.04716503
08.93194413,LM,SP,-2610694656.0000,7367141376.0000,0.02174768,149.1101,0.03873567
