#SRC:SGRA,DATE(MJD):57850,FREQ:227.0707GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
04.04583335,PV,SP,-899779840.0000,8566944768.0000,0.02668830,20.0219,0.02890433
04.04861104,AA,SP,-4350773248.0000,3024167680.0000,0.07335796,0.4998,0.00324374
04.04861104,AA,PV,-3453183744.0000,-5543031296.0000,0.01482610,6.6952,0.00206972
04.04861104,PV,SP,-897589504.0000,8567199232.0000,0.04707403,85.7691,0.02237432
04.05138874,AA,SP,-4350087168.0000,3025705984.0000,0.07843197,-2.0915,0.00325704
04.05138874,AA,PV,-3455236096.0000,-5541810176.0000,0.01678701,-8.2980,0.00207761
04.05138874,PV,SP,-894851200.0000,8567515648.0000,0.05992794,17.6125,0.02235983
04.05416679,AA,SP,-4349399040.0000,3027244032.0000,0.06952024,-0.6963,0.00322687
04.05416679,AA,PV,-3457286400.0000,-5540588032.0000,0.01587851,-0.5384,0.00205781
04.05416679,PV,SP,-892112320.0000,8567832064.0000,0.06083666,40.7945,0.02234520
04.05694449,AA,SP,-4348708352.0000,3028782080.0000,0.07453727,-1.8491,0.00320395
04.05694449,AA,PV,-3459335168.0000,-5539364864.0000,0.01645734,0.4334,0.00204268
04.05694449,PV,SP,-889373120.0000,8568146944.0000,0.01094211,140.8030,0.02233065
04.05972219,AA,SP,-4348015104.0000,3030319616.0000,0.07322717,-1.1551,0.00319880
04.05972219,AA,PV,-3461381888.0000,-5538141184.0000,0.02048239,-5.5484,0.00203884
04.05972219,PV,SP,-886633344.0000,8568460800.0000,0.02480146,109.6051,0.02231610
04.06249988,AA,SP,-4347319808.0000,3031857152.0000,0.07072873,-1.2621,0.00328530
04.06249988,AA,PV,-3463426816.0000,-5536916992.0000,0.02118125,7.3387,0.00209332
04.06249988,PV,SP,-883893184.0000,8568773632.0000,0.03443776,-11.8460,0.02230155
04.06527793,AA,SP,-4346622464.0000,3033394176.0000,0.07488854,-1.3474,0.00329394
04.06527793,AA,PV,-3465469952.0000,-5535692288.0000,0.02122566,-2.5111,0.00209830
04.06527793,PV,SP,-881152576.0000,8569085952.0000,0.04752593,15.2654,0.02228700
04.06805563,AA,SP,-4345922560.0000,3034931200.0000,0.07358616,1.4004,0.00318859
04.06805563,AA,PV,-3467511552.0000,-5534466048.0000,0.01809460,-0.6008,0.00203060
04.06805563,PV,SP,-878411328.0000,8569397248.0000,0.04267634,87.4243,0.02227246
04.07083333,AA,SP,-4345220608.0000,3036467712.0000,0.07408982,0.6937,0.00321193
04.07083333,AA,PV,-3469550848.0000,-5533239296.0000,0.01781690,-6.2022,0.00204499
04.07083333,PV,SP,-875669696.0000,8569706496.0000,0.03968451,61.2872,0.02225792
04.07361102,AA,SP,-4344516096.0000,3038004224.0000,0.07068272,2.5993,0.00319235
04.07361102,AA,PV,-3471588608.0000,-5532012032.0000,0.01794463,7.9737,0.00203198
04.07361102,PV,SP,-872927744.0000,8570016256.0000,0.03249638,-32.7299,0.02224338
04.07638872,AA,SP,-4343809024.0000,3039540480.0000,0.06866428,0.2802,0.00317744
04.07638872,AA,PV,-3473624064.0000,-5530784768.0000,0.02014688,-0.2178,0.00202185
04.07638872,PV,SP,-870185088.0000,8570323968.0000,0.06108993,48.5360,0.02222885
04.07916677,AA,SP,-4343099904.0000,3041076224.0000,0.07113856,2.0138,0.00321770
04.07916677,AA,PV,-3475657984.0000,-5529555456.0000,0.01578762,-2.6815,0.00204700
04.07916677,PV,SP,-867442112.0000,8570632192.0000,0.05088809,53.6273,0.02221432
04.08194447,AA,SP,-4342388736.0000,3042611968.0000,0.07524688,1.2024,0.00318808
04.08194447,AA,PV,-3477690112.0000,-5528326144.0000,0.01745513,4.9528,0.00202762
04.08194447,PV,SP,-864698624.0000,8570938368.0000,0.05849744,-45.3035,0.02219979
04.08472216,AA,SP,-4341675008.0000,3044147456.0000,0.07952265,-0.0888,0.00321256
04.08472216,AA,PV,-3479720192.0000,-5527095808.0000,0.01881452,-3.1958,0.00204263
04.08472216,PV,SP,-861954688.0000,8571243520.0000,0.02108508,143.7884,0.02218526
04.08749986,AA,SP,-4340958720.0000,3045682432.0000,0.07249545,-1.3051,0.00318056
04.08749986,PV,SP,-859210304.0000,8571547648.0000,0.01224753,-3.7716,0.02217074
04.09027791,AA,SP,-4340240384.0000,3047217664.0000,0.07413579,-0.8694,0.00314616
04.09027791,AA,PV,-3483775232.0000,-5524633600.0000,0.01589462,0.1647,0.00199933
04.09027791,PV,SP,-856465472.0000,8571851264.0000,0.03530980,-127.7906,0.02215622
04.09305561,AA,SP,-4339520000.0000,3048752128.0000,0.07320057,0.8883,0.00315933
04.09305561,AA,PV,-3485799680.0000,-5523401216.0000,0.01902738,-0.5865,0.00200715
04.09305561,PV,SP,-853720192.0000,8572152832.0000,0.01317623,-135.4281,0.02214170
04.09583330,AA,SP,-4338797056.0000,3050286336.0000,0.07004648,0.2305,0.00317161
04.09583330,AA,PV,-3487822592.0000,-5522168320.0000,0.02167367,2.1836,0.00201437
04.09583330,PV,SP,-850974464.0000,8572454912.0000,0.04760494,43.2661,0.02212719
04.09861100,AA,SP,-4338071552.0000,3051820544.0000,0.07607398,-1.4790,0.00317568
04.09861100,AA,PV,-3489843456.0000,-5520934400.0000,0.01485292,-1.1287,0.00201640
04.09861100,PV,SP,-848228224.0000,8572755456.0000,0.01912065,2.9071,0.02211268
04.10138905,AA,SP,-4337344000.0000,3053354496.0000,0.07769839,-0.6352,0.00352324
04.10138905,AA,PV,-3491862528.0000,-5519700480.0000,0.01785446,2.5861,0.00221965
04.10138905,PV,SP,-845481536.0000,8573054976.0000,0.03485234,-49.7565,0.02209816
04.10416675,AA,SP,-4336614400.0000,3054888192.0000,0.08160318,-2.4180,0.00319386
04.10416675,AA,PV,-3493879808.0000,-5518465024.0000,0.01914884,0.2992,0.00202691
04.10416675,PV,SP,-842734464.0000,8573353472.0000,0.01991325,24.8151,0.02208366
04.10694444,AA,PV,-3495895296.0000,-5517229056.0000,0.01979475,9.6910,0.00200313
04.10694444,AA,SP,-4335882240.0000,3056421376.0000,0.07409601,-1.2401,0.00315723
04.10694444,PV,SP,-839986880.0000,8573650944.0000,0.01466689,175.2541,0.02206916
04.10972214,AA,SP,-4335147520.0000,3057954560.0000,0.08101476,-1.2680,0.00317508
04.10972214,AA,PV,-3497908736.0000,-5515992576.0000,0.01894714,-4.5884,0.00201390
04.10972214,PV,SP,-837238912.0000,8573947392.0000,0.02140855,40.4908,0.02205466
04.11249983,AA,SP,-4334410752.0000,3059487488.0000,0.08182944,-1.6798,0.00311457
04.11249983,AA,PV,-3499920384.0000,-5514755584.0000,0.02206942,-1.4549,0.00197499
04.11249983,PV,SP,-834490432.0000,8574243328.0000,0.03092472,35.3559,0.02204026
04.11527789,AA,SP,-4333671936.0000,3061019904.0000,0.07581661,-0.4419,0.00316476
04.11527789,AA,PV,-3501929984.0000,-5513517568.0000,0.02029405,4.2503,0.00200628
04.11527789,PV,SP,-831741568.0000,8574537728.0000,0.02670517,106.0665,0.02202584
04.11805558,AA,SP,-4332930560.0000,3062552320.0000,0.07361258,0.0434,0.00312992
04.11805558,AA,PV,-3503938304.0000,-5512278528.0000,0.01771186,1.7991,0.00198364
04.11805558,PV,SP,-828992320.0000,8574831104.0000,0.04207549,64.5784,0.02201117
04.12083328,AA,SP,-4332186624.0000,3064084480.0000,0.07728950,2.7665,0.00313141
04.12083328,AA,PV,-3505944064.0000,-5511039488.0000,0.01573099,-7.0187,0.00198404
04.12083328,PV,SP,-826242496.0000,8575123968.0000,0.04991648,74.1936,0.02199669
04.12361097,AA,PV,-3507948288.0000,-5509799424.0000,0.02290335,-3.1978,0.00195521
04.12361097,PV,SP,-823492288.0000,8575415808.0000,0.03197429,75.9692,0.02198220
04.12638903,AA,SP,-4330692096.0000,3067147776.0000,0.07648946,2.0271,0.00310532
04.12638903,AA,PV,-3509950720.0000,-5508558336.0000,0.01895767,4.2671,0.00196645
04.12638903,PV,SP,-820741632.0000,8575706112.0000,0.02387958,102.1225,0.02196771
04.12916672,AA,SP,-4329941504.0000,3068678912.0000,0.07778864,1.9256,0.00311594
04.12916672,AA,PV,-3511951104.0000,-5507316736.0000,0.01572998,6.1990,0.00197260
04.12916672,PV,SP,-817990528.0000,8575995904.0000,0.01520365,-66.1073,0.02195323
04.13194442,AA,SP,-4329188864.0000,3070210048.0000,0.07675212,0.9851,0.00308651
04.13194442,AA,PV,-3513949696.0000,-5506074624.0000,0.02055403,-0.3369,0.00195348
04.13194442,PV,SP,-815239040.0000,8576284672.0000,0.03815839,-28.7839,0.02193876
04.13472211,AA,SP,-4328433664.0000,3071740672.0000,0.07759410,1.0913,0.00323531
04.13472211,AA,PV,-3515946496.0000,-5504832000.0000,0.01725116,-8.8813,0.00203924
04.13472211,PV,SP,-812487040.0000,8576572928.0000,0.02651832,34.3256,0.02192428
04.13750017,AA,PV,-3517941248.0000,-5503587840.0000,0.01763540,-4.1036,0.00210947
04.14027786,AA,SP,-4326916096.0000,3074801408.0000,0.07578300,1.2460,0.00312536
04.14027786,AA,PV,-3519934464.0000,-5502344192.0000,0.02128289,-5.9938,0.00197628
04.14027786,PV,SP,-806981824.0000,8577144832.0000,0.01194808,84.9715,0.02189534
04.14305556,AA,SP,-4326154240.0000,3076331264.0000,0.07797732,1.5875,0.00307256
04.14305556,AA,PV,-3521925376.0000,-5501098496.0000,0.01834023,-4.0676,0.00194252
04.14305556,PV,SP,-804228608.0000,8577430016.0000,0.02569330,42.2661,0.02188088
04.14583325,AA,SP,-4325389824.0000,3077861120.0000,0.07510826,0.0776,0.00309558
04.14583325,AA,PV,-3523914752.0000,-5499852800.0000,0.01548897,-8.3472,0.00195658
04.14583325,PV,SP,-801474944.0000,8577714176.0000,0.05021358,-51.1482,0.02186641
04.14861095,AA,SP,-4324622848.0000,3079390464.0000,0.07527306,1.3634,0.00308072
04.14861095,AA,PV,-3525902080.0000,-5498606592.0000,0.01769387,-8.6919,0.00194658
04.14861095,PV,SP,-798720896.0000,8577996800.0000,0.03792405,-6.4969,0.02185196
04.39305568,AA,SP,-4248195328.0000,3212821504.0000,0.07820968,1.1212,0.00354683
04.39305568,AA,PV,-3693331968.0000,-5386243072.0000,0.00963943,7.9825,0.00219621
04.39305568,PV,SP,-554863744.0000,8599064576.0000,0.04235085,51.9024,0.02051015
04.39583337,AA,PV,-3695148032.0000,-5384936448.0000,0.01282713,-15.2942,0.00187756
04.39583337,AA,SP,-4247225856.0000,3214323712.0000,0.06828144,-0.7429,0.00303095
04.39583337,PV,SP,-552077568.0000,8599260160.0000,0.01880895,132.4129,0.02049405
04.39861107,AA,PV,-3696962560.0000,-5383629824.0000,0.01058127,16.7296,0.00175272
04.39861107,AA,SP,-4246253824.0000,3215825408.0000,0.07057445,1.0345,0.00282852
