# SRC:SGRA DATE(MJD):57850 FREQ:228.1918GHz
# time(UTC)      T1     T2   U(lambda)        V(lambda)         Iamp(Jy)    Iphase(d)   Isigma(Jy)
04.04861104      AA     SP  -4370436096.0000   3037068800.0000  0.21529762      0.0265  0.01076401
04.04861104      AP     PV  -3468049664.0000  -5569759232.0000  0.03316021    -78.8134  0.02563771
04.04861104      AP     SP  -4371274240.0000   3038572288.0000  0.23370749      1.6797  0.05184895
04.04861104      PV     SP   -903224640.0000   8608331776.0000  0.13177128    174.0092  0.05866188
04.05138874      AA     AP       838199.8750     -1503301.6250  2.46139852      0.1506  0.00460740
04.05138874      AA     PV  -3469117952.0000  -5570134016.0000  0.02889318    -42.9385  0.00481764
04.05138874      AA     SP  -4369812992.0000   3038491392.0000  0.22647772      3.1310  0.00973427
04.05138874      AP     PV  -3469956096.0000  -5568630272.0000  0.02978384    -83.3161  0.02548978
04.05138874      AP     SP  -4370651136.0000   3039994880.0000  0.25353818     -8.5201  0.05146641
04.05138874      PV     SP   -900695424.0000   8608625664.0000  0.10953408    178.0433  0.05380482
04.05416679      AA     AP       838345.1875     -1503593.6250  2.46205713     -0.5266  0.00463556
04.05416679      AA     PV  -3471187712.0000  -5568907264.0000  0.02960631     10.3187  0.00364891
04.05416679      AA     SP  -4369133568.0000   3040037376.0000  0.16398453     -0.8011  0.00736326
04.05416679      AP     PV  -3472026112.0000  -5567403520.0000  0.04118829    -79.3730  0.03392313
04.05416679      AP     SP  -4369971712.0000   3041540864.0000  0.17467319      6.9799  0.06842872
04.05416679      PV     SP   -897945984.0000   8608945152.0000  0.06592861     30.4136  0.05383883
04.05694449      AA     AP       838489.8750     -1503885.7500  2.46161776      1.1912  0.00463214
04.05694449      AA     PV  -3473256192.0000  -5567678464.0000  0.02478603    -26.6355  0.00464208
04.05694449      AA     SP  -4368452608.0000   3041582848.0000  0.19860872      1.6602  0.00935473
04.05694449      AP     PV  -3474094592.0000  -5566174720.0000  0.00330785     79.4321  0.02670007
04.05694449      AP     SP  -4369290240.0000   3043086848.0000  0.20192081      3.7837  0.05376546
04.05694449      PV     SP   -895195968.0000   8609261568.0000  0.14112107     -9.9864  0.05387579
04.05972219      AA     AP       838634.1875     -1504177.8750  2.46209493      1.1329  0.00458072
04.05972219      AA     PV  -3475322368.0000  -5566449664.0000  0.03214908    -13.9059  0.00377492
04.05972219      AA     SP  -4367768064.0000   3043128320.0000  0.17771755      2.5256  0.00759694
04.05972219      AP     PV  -3476161280.0000  -5564945920.0000  0.01135619   -146.2357  0.03253694
04.05972219      AP     SP  -4368606720.0000   3044632576.0000  0.21142275     -3.0342  0.06543699
04.05972219      PV     SP   -892445504.0000   8609577984.0000  0.09192342    119.6634  0.05391271
04.06249988      AA     AP       838777.8125     -1504470.1250  2.46120788     -0.0052  0.00468651
04.06249988      AA     PV  -3477387008.0000  -5565220864.0000  0.03210596     -4.7613  0.00455623
04.06249988      AA     SP  -4367081472.0000   3044673536.0000  0.21007866     -3.3613  0.00915691
04.06249988      AP     PV  -3478226176.0000  -5563716608.0000  0.03742777    -31.4738  0.02763471
04.06249988      AP     SP  -4367920128.0000   3046178048.0000  0.21460547      3.6352  0.05551815
04.06249988      PV     SP   -889694528.0000   8609894400.0000  0.06002317     45.4745  0.05394958
04.06527793      AA     PV  -3479449856.0000  -5563990528.0000  0.03727036     28.9039  0.00462477
04.06527793      AA     SP  -4366393344.0000   3046218752.0000  0.19669475      2.0232  0.00928209
04.06527793      AP     PV  -3480289024.0000  -5562485760.0000  0.06773190    102.7878  0.02554790
04.06527793      AP     SP  -4367232000.0000   3047723264.0000  0.19338412     -8.5319  0.05121459
04.06527793      PV     SP   -886943040.0000   8610208768.0000  0.13862865    -15.3106  0.05398640
04.06805563      AA     AP       839063.4375     -1505054.8750  2.46118264     -1.2376  0.00456065
04.06805563      AA     PV  -3481510656.0000  -5562759680.0000  0.03825853     48.8389  0.00375768
04.06805563      AA     SP  -4365701632.0000   3047763200.0000  0.15900553     -4.5555  0.00753164
04.06805563      AP     PV  -3482350080.0000  -5561254400.0000  0.04736138     60.1616  0.03274081
04.06805563      AP     SP  -4366540800.0000   3049268224.0000  0.15507168     27.7264  0.06559975
04.06805563      PV     SP   -884191104.0000   8610522112.0000  0.12383954    -19.2665  0.05402317
04.07083333      AA     AP       839205.5000     -1505347.3750  2.46176801      0.5328  0.00465503
04.07083333      AA     PV  -3483569920.0000  -5561527808.0000  0.03497922    -13.8613  0.00529674
04.07083333      AA     SP  -4365008384.0000   3049307904.0000  0.23189247     -0.1725  0.01060211
04.07083333      AP     PV  -3484409088.0000  -5560023040.0000  0.07228572    -73.0833  0.02375640
04.07083333      AP     SP  -4365847552.0000   3050813184.0000  0.23024117     -0.8431  0.04752518
04.07083333      PV     SP   -881438720.0000   8610835456.0000  0.05451371     81.5647  0.05405989
04.07361102      AA     AP       839346.9375     -1505640.0000  2.46168044      0.7421  0.00455351
04.07361102      AA     PV  -3485627136.0000  -5560295936.0000  0.01819086    -63.0817  0.00467983
04.07361102      AA     SP  -4364313600.0000   3050852096.0000  0.21607818     -0.3184  0.00935466
04.07361102      AP     PV  -3486466560.0000  -5558789632.0000  0.00878571   -161.0869  0.02635467
04.07361102      AP     SP  -4365152256.0000   3052357632.0000  0.22689448    -15.9471  0.05265996
04.07361102      PV     SP   -878685888.0000   8611147776.0000  0.07910216   -158.4388  0.05409655
04.07638872      AA     AP       839487.8125     -1505932.7500  2.46109928     -0.3379  0.00456115
04.07638872      AA     PV  -3487682304.0000  -5559062528.0000  0.01430118     38.4898  0.00375056
04.07638872      AA     SP  -4363615232.0000   3052396032.0000  0.17970493     -0.4433  0.00748702
04.07638872      AP     PV  -3488521728.0000  -5557556224.0000  0.07243160    152.1149  0.03300704
04.07638872      AP     SP  -4364454400.0000   3053901824.0000  0.17363347     -9.7158  0.06584571
04.07638872      PV     SP   -875932608.0000   8611458048.0000  0.04471191    -12.4925  0.05413318
04.07916677      AA     AP       839628.1250     -1506225.5000  2.46187479      0.0579  0.00461044
04.07916677      AA     PV  -3489736192.0000  -5557828608.0000  0.02727191    -55.2545  0.00390133
04.07916677      AA     SP  -4362914816.0000   3053939456.0000  0.17808208      0.2855  0.00777752
04.07916677      AP     PV  -3490575872.0000  -5556322304.0000  0.05747907    -67.0145  0.03214057
04.07916677      AP     SP  -4363753984.0000   3055445760.0000  0.20993812     13.0064  0.06401547
04.07916677      PV     SP   -873178688.0000   8611768320.0000  0.10539891     17.1831  0.05416975
04.08194447      AA     AP       839767.9375     -1506518.3750  2.46190643      1.0096  0.00457682
04.08194447      AA     PV  -3491787520.0000  -5556594688.0000  0.02140586    -71.3028  0.00429029
04.08194447      AA     SP  -4362211840.0000   3055483136.0000  0.20124547     -6.8235  0.00856804
04.08194447      AP     PV  -3492627200.0000  -5555087872.0000  0.03254451     61.2896  0.02906991
04.08194447      AP     SP  -4363052032.0000   3056989184.0000  0.22427363     10.0351  0.05803390
04.08194447      PV     SP   -870424512.0000   8612076544.0000  0.03129018    -91.7289  0.05437411
04.08472216      AA     AP       839907.2500     -1506811.2500  2.46166793      0.4881  0.00459742
04.08472216      AA     PV  -3493837312.0000  -5555358720.0000  0.01827253   -102.8003  0.00336522
04.08472216      AA     SP  -4361506816.0000   3057026048.0000  0.14887584     -4.8992  0.00669082
04.08472216      AP     PV  -3494677504.0000  -5553851904.0000  0.02721873      7.8446  0.03730324
04.08472216      AP     SP  -4362347008.0000   3058532864.0000  0.14443335      7.3571  0.07412241
04.08472216      PV     SP   -867669632.0000   8612384768.0000  0.06002529      4.5993  0.05424274
04.08749986      AA     AP       840045.9375     -1507104.3750  2.46158483      0.2407  0.00455804
04.08749986      AA     PV  -3495885312.0000  -5554122752.0000  0.02492783   -162.4024  0.00441390
04.08749986      AA     SP  -4360800256.0000   3058568960.0000  0.21428705      2.1705  0.00876397
04.08749986      AP     PV  -3496725248.0000  -5552615936.0000  0.05202431    -75.6401  0.02825314
04.08749986      AP     SP  -4361639936.0000   3060076032.0000  0.21984409     14.1400  0.05607781
04.08749986      PV     SP   -864914432.0000   8612691968.0000  0.06820385   -125.9372  0.05427918
04.09027791      AA     AP       840184.1875     -1507397.2500  2.46134051      0.5641  0.00450961
04.09027791      AA     PV  -3497931520.0000  -5552886272.0000  0.03169712     18.2392  0.00467232
04.09027791      AA     SP  -4360090112.0000   3060111872.0000  0.21477061      1.5962  0.00927276
04.09027791      AP     PV  -3498771968.0000  -5551379456.0000  0.04081491     23.1965  0.02646067
04.09027791      AP     SP  -4360930304.0000   3061619200.0000  0.24259692     15.5766  0.05249502
04.09027791      PV     SP   -862158720.0000   8612999168.0000  0.09098391     38.9092  0.05436342
04.09305561      AA     AP       840321.7500     -1507690.5000  2.46198652     -0.3645  0.00450741
04.09305561      AA     PV  -3499975680.0000  -5551649280.0000  0.04872200    -11.0387  0.00531302
04.09305561      AA     SP  -4359378432.0000   3061654272.0000  0.23532553     -1.1782  0.01052095
04.09305561      AP     PV  -3500815872.0000  -5550141440.0000  0.05091800    -41.6390  0.02330610
04.09305561      AP     SP  -4360219136.0000   3063161600.0000  0.24269253      4.7122  0.04612125
04.09305561      PV     SP   -859402560.0000   8613304320.0000  0.04349573    -34.4808  0.05435185
04.09583330      AA     AP       840458.8750     -1507983.7500  2.46131377      0.2524  0.00456277
04.09583330      AA     PV  -3502018048.0000  -5550411264.0000  0.02543685    -25.1334  0.00410179
04.09583330      AA     SP  -4358664192.0000   3063196160.0000  0.18946663      0.9030  0.00811158
04.09583330      AP     PV  -3502858752.0000  -5548902912.0000  0.02410199   -117.5511  0.03061949
04.09583330      AP     SP  -4359504384.0000   3064704256.0000  0.17614968    -13.5495  0.06052601
04.09583330      PV     SP   -856645952.0000   8613607424.0000  0.08297466    -31.2610  0.05438812
04.09861100      AA     PV  -3504058624.0000  -5549172224.0000  0.02107122      8.8098  0.00468646
04.09861100      AA     SP  -4357947392.0000   3064738048.0000  0.22310158     -3.3218  0.00925542
04.09861100      AP     PV  -3504899328.0000  -5547663872.0000  0.03161945     38.6206  0.02772679
