# SRC:SGRA DATE(MJD):57850 FREQ:227.0707GHz
# time(UTC)      T1     T2   U(lambda)        V(lambda)         Iamp(Jy)    Iphase(d)   Isigma(Jy)
04.04583335      PV     SP   -899779840.0000   8566944768.0000  0.06547199     20.0219  0.07090836
04.04861104      AA     SP  -4350773248.0000   3024167680.0000  0.17996242      0.4998  0.00795757
04.04861104      AA     PV  -3453183744.0000  -5543031296.0000  0.03637152      6.6952  0.00507746
04.04861104      PV     SP   -897589504.0000   8567199232.0000  0.11548245     85.7691  0.05488889
04.05138874      AA     SP  -4350087168.0000   3025705984.0000  0.19241003     -2.0915  0.00799020
04.05138874      AA     PV  -3455236096.0000  -5541810176.0000  0.04118205     -8.2980  0.00509680
04.05138874      PV     SP   -894851200.0000   8567515648.0000  0.14701578     17.6125  0.05485333
04.05416679      AA     SP  -4349399040.0000   3027244032.0000  0.17054770     -0.6963  0.00791620
04.05416679      AA     PV  -3457286400.0000  -5540588032.0000  0.03895332     -0.5384  0.00504823
04.05416679      PV     SP   -892112320.0000   8567832064.0000  0.14924505     40.7945  0.05481746
04.05694449      AA     SP  -4348708352.0000   3028782080.0000  0.18285553     -1.8491  0.00785996
04.05694449      AA     PV  -3459335168.0000  -5539364864.0000  0.04037329      0.4334  0.00501111
04.05694449      PV     SP   -889373120.0000   8568146944.0000  0.02684327    140.8030  0.05478176
04.05972219      AA     SP  -4348015104.0000   3030319616.0000  0.17964157     -1.1551  0.00784734
04.05972219      AA     PV  -3461381888.0000  -5538141184.0000  0.05024760     -5.5484  0.00500171
04.05972219      PV     SP   -886633344.0000   8568460800.0000  0.06084318    109.6051  0.05474605
04.06249988      AA     SP  -4347319808.0000   3031857152.0000  0.17351237     -1.2621  0.00805953
04.06249988      AA     PV  -3463426816.0000  -5536916992.0000  0.05196205      7.3387  0.00513534
04.06249988      PV     SP   -883893184.0000   8568773632.0000  0.08448304    -11.8460  0.05471037
04.06527793      AA     SP  -4346622464.0000   3033394176.0000  0.18371727     -1.3474  0.00808073
04.06527793      AA     PV  -3465469952.0000  -5535692288.0000  0.05207100     -2.5111  0.00514757
04.06527793      PV     SP   -881152576.0000   8569085952.0000  0.11659104     15.2654  0.05467468
04.06805563      AA     SP  -4345922560.0000   3034931200.0000  0.18052225      1.4004  0.00782228
04.06805563      AA     PV  -3467511552.0000  -5534466048.0000  0.04438983     -0.6008  0.00498149
04.06805563      PV     SP   -878411328.0000   8569397248.0000  0.10469399     87.4243  0.05463901
04.07083333      AA     SP  -4345220608.0000   3036467712.0000  0.18175782      0.6937  0.00787952
04.07083333      AA     PV  -3469550848.0000  -5533239296.0000  0.04370859     -6.2022  0.00501678
04.07083333      PV     SP   -875669696.0000   8569706496.0000  0.09735441     61.2872  0.05460334
04.07361102      AA     SP  -4344516096.0000   3038004224.0000  0.17339951      2.5993  0.00783151
04.07361102      AA     PV  -3471588608.0000  -5532012032.0000  0.04402193      7.9737  0.00498487
04.07361102      PV     SP   -872927744.0000   8570016256.0000  0.07972041    -32.7299  0.05456767
04.07638872      AA     SP  -4343809024.0000   3039540480.0000  0.16844785      0.2802  0.00779493
04.07638872      AA     PV  -3473624064.0000  -5530784768.0000  0.04942452     -0.2178  0.00496001
04.07638872      PV     SP   -870185088.0000   8570323968.0000  0.14986638     48.5360  0.05453202
04.07916677      AA     SP  -4343099904.0000   3041076224.0000  0.17451776      2.0138  0.00789369
04.07916677      AA     PV  -3475657984.0000  -5529555456.0000  0.03873034     -2.6815  0.00502172
04.07916677      PV     SP   -867442112.0000   8570632192.0000  0.12483913     53.6273  0.05449637
04.08194447      AA     SP  -4342388736.0000   3042611968.0000  0.18459633      1.2024  0.00782103
04.08194447      AA     PV  -3477690112.0000  -5528326144.0000  0.04282108      4.9528  0.00497417
04.08194447      PV     SP   -864698624.0000   8570938368.0000  0.14350646    -45.3035  0.05446072
04.08472216      AA     SP  -4341675008.0000   3044147456.0000  0.19508572     -0.0888  0.00788109
04.08472216      AA     PV  -3479720192.0000  -5527095808.0000  0.04615596     -3.1958  0.00501100
04.08472216      PV     SP   -861954688.0000   8571243520.0000  0.05172611    143.7884  0.05442509
04.08749986      AA     SP  -4340958720.0000   3045682432.0000  0.17784649     -1.3051  0.00780258
04.08749986      PV     SP   -859210304.0000   8571547648.0000  0.03004575     -3.7716  0.05438946
04.09027791      AA     SP  -4340240384.0000   3047217664.0000  0.18187061     -0.8694  0.00771818
04.09027791      AA     PV  -3483775232.0000  -5524633600.0000  0.03899283      0.1647  0.00490477
04.09027791      PV     SP   -856465472.0000   8571851264.0000  0.08662233   -127.7906  0.05435384
04.09305561      AA     SP  -4339520000.0000   3048752128.0000  0.17957631      0.8883  0.00775049
04.09305561      AA     PV  -3485799680.0000  -5523401216.0000  0.04667815     -0.5865  0.00492397
04.09305561      PV     SP   -853720192.0000   8572152832.0000  0.03232405   -135.4281  0.05431822
04.09583330      AA     SP  -4338797056.0000   3050286336.0000  0.17183868      0.2305  0.00778063
04.09583330      AA     PV  -3487822592.0000  -5522168320.0000  0.05317005      2.1836  0.00494166
04.09583330      PV     SP   -850974464.0000   8572454912.0000  0.11678489     43.2661  0.05428262
04.09861100      AA     SP  -4338071552.0000   3051820544.0000  0.18662538     -1.4790  0.00779060
04.09861100      AA     PV  -3489843456.0000  -5520934400.0000  0.03643731     -1.1287  0.00494666
04.09861100      PV     SP   -848228224.0000   8572755456.0000  0.04690695      2.9071  0.05424702
04.10138905      AA     SP  -4337344000.0000   3053354496.0000  0.19061040     -0.6352  0.00864324
04.10138905      AA     PV  -3491862528.0000  -5519700480.0000  0.04380074      2.5861  0.00544526
04.10138905      PV     SP   -845481536.0000   8573054976.0000  0.08550008    -49.7565  0.05421142
04.10416675      AA     SP  -4336614400.0000   3054888192.0000  0.20018969     -2.4180  0.00783522
04.10416675      AA     PV  -3493879808.0000  -5518465024.0000  0.04697612      0.2992  0.00497243
04.10416675      PV     SP   -842734464.0000   8573353472.0000  0.04885137     24.8151  0.05417584
04.10694444      AA     PV  -3495895296.0000  -5517229056.0000  0.04856066      9.6910  0.00491410
04.10694444      AA     SP  -4335882240.0000   3056421376.0000  0.18177302     -1.2401  0.00774534
04.10694444      PV     SP   -839986880.0000   8573650944.0000  0.03598095    175.2541  0.05414026
04.10972214      AA     SP  -4335147520.0000   3057954560.0000  0.19874616     -1.2680  0.00778914
04.10972214      AA     PV  -3497908736.0000  -5515992576.0000  0.04648130     -4.5884  0.00494051
04.10972214      PV     SP   -837238912.0000   8573947392.0000  0.05251965     40.4908  0.05410469
04.11249983      AA     SP  -4334410752.0000   3059487488.0000  0.20074474     -1.6798  0.00764069
04.11249983      AA     PV  -3499920384.0000  -5514755584.0000  0.05414091     -1.4549  0.00484507
04.11249983      PV     SP   -834490432.0000   8574243328.0000  0.07586482     35.3559  0.05406937
04.11527789      AA     SP  -4333671936.0000   3061019904.0000  0.18599400     -0.4419  0.00776383
04.11527789      AA     PV  -3501929984.0000  -5513517568.0000  0.04978554      4.2503  0.00492183
04.11527789      PV     SP   -831741568.0000   8574537728.0000  0.06551336    106.0665  0.05403399
04.11805558      AA     SP  -4332930560.0000   3062552320.0000  0.18058706      0.0434  0.00767836
04.11805558      AA     PV  -3503938304.0000  -5512278528.0000  0.04345091      1.7991  0.00486629
04.11805558      PV     SP   -828992320.0000   8574831104.0000  0.10321998     64.5784  0.05399802
04.12083328      AA     SP  -4332186624.0000   3064084480.0000  0.18960732      2.7665  0.00768200
04.12083328      AA     PV  -3505944064.0000  -5511039488.0000  0.03859140     -7.0187  0.00486727
04.12083328      PV     SP   -826242496.0000   8575123968.0000  0.12245557     74.1936  0.05396247
04.12361097      AA     PV  -3507948288.0000  -5509799424.0000  0.05618671     -3.1978  0.00479655
04.12361097      PV     SP   -823492288.0000   8575415808.0000  0.07843961     75.9692  0.05392694
04.12638903      AA     SP  -4330692096.0000   3067147776.0000  0.18764466      2.0271  0.00761799
04.12638903      AA     PV  -3509950720.0000  -5508558336.0000  0.04650712      4.2671  0.00482411
04.12638903      PV     SP   -820741632.0000   8575706112.0000  0.05858161    102.1225  0.05389139
04.12916672      AA     SP  -4329941504.0000   3068678912.0000  0.19083181      1.9256  0.00764406
