# SRC:SGRA DATE(MJD):57850 FREQ:229.0707GHz
# time(UTC)      T1     T2   U(lambda)        V(lambda)         Iamp(Jy)    Iphase(d)   Isigma(Jy)
12.46527815      AA     JC   6262702592.0000  -3391494400.0000  0.03615844      4.4411  0.00705587
12.46527815      AA     SM   6262707712.0000  -3391560960.0000  0.03530879     -2.1573  0.00437746
12.46527815      AA     SP   3377262592.0000   4026293760.0000  0.11825553      1.0100  0.00508327
12.46527815      JC     SM         5031.5264       -66598.1562  2.33330774      0.0000  0.09498889
12.46527815      JC     SP  -2885440000.0000   7417787904.0000  0.11206831      9.7535  0.10599945
12.46527815      SM     SP  -2885445120.0000   7417854464.0000  0.13745297   -126.2910  0.06357176
12.61805534      AA     JC   6233195008.0000  -3513026304.0000  0.02827691    -33.1270  0.00616261
12.61805534      AA     SM   6233202176.0000  -3513092864.0000  0.02609465      7.2829  0.00358775
12.61805534      AA     SP   3493191424.0000   3959473920.0000  0.11238069      0.7143  0.00462874
12.61805534      AP     JC   6233598976.0000  -3511064832.0000  0.06218033    -22.2530  0.05485982
12.61805534      AP     LM   1802245120.0000  -3748228864.0000  0.07442956     26.6787  0.02221117
12.61805534      AP     SM   6233606144.0000  -3511131648.0000  0.09523023    -20.2184  0.03205156
12.61805534      AP     SP   3493595392.0000   3961435392.0000  0.09602043     35.5951  0.04130023
12.61805534      JC     LM  -4431353344.0000   -237163952.0000  0.05043445    -18.1862  0.05167465
12.61805534      JC     SP  -2740003072.0000   7472499712.0000  0.03158812    113.9919  0.09805067
12.61805534      LM     SM   4431361024.0000    237097232.0000  0.06553693     45.4074  0.02965382
12.61805534      LM     SP   1691350016.0000   7709664256.0000  0.03888665    146.6863  0.03818900
12.62083340      AA     JC   6232565248.0000  -3515230464.0000  0.04674570     17.6698  0.00649765
12.62083340      AA     AP      -404570.7812     -1961395.8750  2.28609831      0.5620  0.00332326
12.62083340      AA     LM   1800768640.0000  -3750827520.0000  0.08918942      1.5623  0.00305118
12.62083340      AA     SM   6232572928.0000  -3515297024.0000  0.04324595      3.7173  0.00505775
12.62083340      AA     SP   3495247872.0000   3958238208.0000  0.13784528      1.1762  0.00567768
12.62083340      AP     JC   6232969728.0000  -3513268992.0000  0.05025276    -65.8052  0.04745520
12.62083340      AP     LM   1801173376.0000  -3748865536.0000  0.09886917      0.9965  0.02238241
12.62083340      AP     SM   6232977408.0000  -3513335808.0000  0.09059027     22.7658  0.03706983
12.62083340      AP     SP   3495652352.0000   3960199680.0000  0.11678623    -24.4651  0.04156256
12.62083340      JC     LM  -4431796736.0000   -235596896.0000  0.09699232    -28.2373  0.04455037
12.62083340      JC     SM         7476.3501       -66722.0156  2.28485274     -0.0000  0.07840066
12.62083340      JC     SP  -2737317632.0000   7473468416.0000  0.19690606   -133.1377  0.08441365
12.62083340      LM     SM   4431804416.0000    235530176.0000  0.10740865     36.8192  0.03417614
12.62083340      LM     SP   1694479104.0000   7709065216.0000  0.05069497     55.2623  0.03829650
12.62083340      SM     SP  -2737325056.0000   7473534976.0000  0.10108964    118.4318  0.06377431
12.62361145      AA     AP      -405130.7500     -1961252.7500  2.28431441      0.5603  0.00333471
12.62361145      AA     JC   6231932416.0000  -3517434112.0000  0.03882239     -2.2365  0.00703680
12.62361145      AA     LM   1799694848.0000  -3751463936.0000  0.05614479      0.7155  0.00261990
12.62361145      AA     SM   6231940096.0000  -3517500928.0000  0.03902168      3.2031  0.00358506
12.62361145      AA     SP   3497302272.0000   3957001728.0000  0.12666130      1.8741  0.00487308
12.62361145      AP     SM   6232345088.0000  -3515539712.0000  0.02066431    -83.9426  0.03586952
12.62361145      AP     SP   3497707520.0000   3958963200.0000  0.18504935     12.3083  0.04869770
12.62361145      AP     JC   6232337920.0000  -3515472896.0000  0.13896591     62.6383  0.07008929
12.62361145      AP     LM   1800099968.0000  -3749502464.0000  0.05343023     13.5021  0.02623648
12.62361145      JC     LM  -4432237568.0000   -234029664.0000  0.04395960     15.2425  0.05633724
12.62361145      JC     SM         7519.9062       -66724.6641  2.28112292      0.0000  0.08173595
12.62361145      JC     SP  -2734630400.0000   7474436096.0000  0.24747573     55.9976  0.10673855
12.62361145      LM     SM   4432245248.0000    233962944.0000  0.06483237     32.6714  0.02829345
12.62361145      LM     SP   1697607296.0000   7708465152.0000  0.04751553     88.7499  0.03839221
12.62638950      AA     AP      -405690.5000     -1961109.2500  2.28276984      0.5681  0.00340490
12.62638950      AA     JC   6231296512.0000  -3519637760.0000  0.03734882      5.4340  0.00801365
12.62638950      AA     LM   1798620288.0000  -3752100096.0000  0.07399040     -0.9011  0.00302180
12.62638950      AA     SM   6231304192.0000  -3519704576.0000  0.03555407      0.1535  0.00414757
12.62638950      AA     SP   3499354880.0000   3955764736.0000  0.14398543      1.4316  0.00561757
12.62638950      AP     SM   6231709696.0000  -3517743360.0000  0.03315671     51.7421  0.03187390
12.62638950      AP     SP   3499760640.0000   3957725952.0000  0.11476112     16.2425  0.04317817
12.62638950      AP     JC   6231702016.0000  -3517676800.0000  0.03436620    -13.8356  0.06060058
12.62638950      AP     LM   1799026048.0000  -3750138880.0000  0.09162828      3.7316  0.02328877
12.62638950      JC     LM  -4432675840.0000   -232462256.0000  0.08703723    -34.0677  0.05580738
12.62638950      JC     SM         7563.4590       -66727.3359  2.28005290      0.0000  0.08102575
12.62638950      JC     SP  -2731941632.0000   7475403264.0000  0.11703916    104.5801  0.10566923
12.62638950      LM     SM   4432683520.0000    232395536.0000  0.08517643     38.3843  0.02846740
12.62638950      LM     SP   1700734464.0000   7707864576.0000  0.06998721     -4.5408  0.03849519
12.62638950      SM     SP  -2731949312.0000   7475469824.0000  0.10053666     96.9787  0.05306327
12.62916613      AA     AP      -406250.0312     -1960965.7500  2.28088082      0.5486  0.00335724
12.62916613      AA     JC   6230657024.0000  -3521841152.0000  0.03022696     10.9686  0.00605798
12.62916613      AA     LM   1797544832.0000  -3752736000.0000  0.05512742     -2.9294  0.00248298
12.62916613      AA     SM   6230664704.0000  -3521907968.0000  0.03187851      5.4621  0.00402630
12.62916613      AA     SP   3501405696.0000   3954526976.0000  0.11705969      1.5706  0.00461055
12.62916613      AP     SM   6231071232.0000  -3519947008.0000  0.04002705    -56.4232  0.04541050
12.62916613      AP     SP   3501811968.0000   3956488192.0000  0.12268882     -3.3155  0.05198238
12.62916613      AP     JC   6231063552.0000  -3519880192.0000  0.07334847    -54.4110  0.06739198
12.62916613      AP     LM   1797951232.0000  -3750775040.0000  0.06855648      5.7642  0.02806718
12.62916613      JC     LM  -4433112064.0000   -230894736.0000  0.14113771    -14.9241  0.05156149
12.62916613      JC     SM         7607.0073       -66730.0156  2.27427411      0.0000  0.08847990
12.62916613      JC     SP  -2729251584.0000   7476368384.0000  0.13981893     -5.9920  0.09753438
12.62916613      LM     SM   4433119744.0000    230828016.0000  0.09896322    -16.8388  0.03378097
12.62916613      LM     SP   1703860736.0000   7707262976.0000  0.05632801    -42.8286  0.03862056
12.62916613      SM     SP  -2729259008.0000   7476434944.0000  0.10095355   -137.4127  0.06289742
12.63194418      AA     AP      -406809.3750     -1960822.0000  2.27901927      0.4383  0.00329718
12.63194418      AA     JC   6230014464.0000  -3524044288.0000  0.04294473     -8.9634  0.00799388
12.63194418      AA     LM   1796468352.0000  -3753371136.0000  0.06448345     -1.5206  0.00304673
12.63194418      AA     SM   6230022144.0000  -3524111104.0000  0.04199176      4.3066  0.00459922
12.63194418      AA     SP   3503454464.0000   3953288448.0000  0.14148336      0.7015  0.00565116
12.63194418      AP     JC   6230420992.0000  -3522083584.0000  0.09428530     43.5719  0.05900107
12.63194418      AP     SM   6230428672.0000  -3522150144.0000  0.07526149     62.6522  0.03404919
12.63194418      AP     SP   3503861248.0000   3955249408.0000  0.16012975      3.0651  0.04178317
12.63194418      JC     LM  -4433545728.0000   -229327040.0000  0.07993010      9.8683  0.05569692
12.63194418      JC     SM         7650.5518       -66732.7109  2.27216840      0.0000  0.08932561
12.63194418      JC     SP  -2726559744.0000   7477332480.0000  0.13844188    144.7196  0.10522429
12.63194418      LM     SM   4433553408.0000    229260288.0000  0.11086795      6.2424  0.03158952
12.63194418      SM     SP  -2726567424.0000   7477399040.0000  0.11021082     85.0408  0.05876198
12.63472223      AA     AP      -407368.4375     -1960678.2500  2.27750918      0.5461  0.00335691
12.63472223      AA     JC   6229368320.0000  -3526246912.0000  0.03680543     18.8149  0.00869296
12.63472223      AA     LM   1795390976.0000  -3754006528.0000  0.05193619     -6.0392  0.00284598
12.63472223      AA     SM   6229376000.0000  -3526313984.0000  0.03953077     -2.0214  0.00418594
12.63472223      AA     SP   3505501696.0000   3952049408.0000  0.13729669      0.9024  0.00528373
12.63472223      AP     SM   6229783552.0000  -3524353280.0000  0.12175079    -42.7695  0.03613369
12.63472223      AP     SP   3505908992.0000   3954009856.0000  0.15863246      7.5822  0.04557767
12.63472223      AP     JC   6229775872.0000  -3524286464.0000  0.14286488    -25.9752  0.07455456
12.63472223      AP     LM   1795798528.0000  -3752045568.0000  0.03654586    -27.8666  0.02460337
12.63472223      JC     LM  -4433977344.0000   -227759184.0000  0.17112023    -98.8457  0.06486411
12.63472223      JC     SM         7694.0913       -66735.4219  2.26371384     -0.0000  0.10113000
12.63472223      JC     SP  -2723866624.0000   7478296576.0000  0.10737179    103.4592  0.12264191
12.63472223      LM     SM   4433985024.0000    227692432.0000  0.03680749     30.0740  0.03078472
12.63472223      SM     SP  -2723874560.0000   7478363136.0000  0.09659208   -155.5447  0.05731122
12.63750029      AA     AP      -407927.3438     -1960533.8750  2.27552758      0.5109  0.00328033
12.63750029      AA     JC   6228719104.0000  -3528450048.0000  0.03443773      6.8839  0.00872798
12.63750029      AA     LM   1794312832.0000  -3754641152.0000  0.05360046      1.2848  0.00294636
12.63750029      AA     SM   6228726784.0000  -3528516608.0000  0.03984538      8.6710  0.00390186
12.63750029      AA     SP   3507546880.0000   3950809344.0000  0.14280995      0.7193  0.00546764
12.63750029      AP     SM   6229134848.0000  -3526556160.0000  0.06895591     37.2994  0.03082333
12.63750029      AP     SP   3507954688.0000   3952769536.0000  0.12058897    -10.8452  0.04314080
12.63750029      AP     JC   6229127168.0000  -3526489344.0000  0.03725746    -81.9750  0.06866573
12.63750029      AP     LM   1794720640.0000  -3752680448.0000  0.08413402     12.0008  0.02329659
12.63750029      JC     LM  -4434406400.0000   -226191168.0000  0.11904812    -64.7109  0.06310329
12.63750029      JC     SM         7737.6274       -66738.1562  2.26824284      0.0000  0.08866717
12.63750029      JC     SP  -2721172224.0000   7479259136.0000  0.33718282    -80.1698  0.11924425
12.63750029      LM     SM   4434414080.0000    226124448.0000  0.02036246     93.1660  0.02780237
12.63750029      LM     SP   1713234176.0000   7705450496.0000  0.05888229     28.6433  0.03889042
12.63750029      SM     SP  -2721179904.0000   7479325696.0000  0.10001413    138.1341  0.05173755
12.64027834      AA     AP      -408486.0312     -1960389.6250  2.27381801      0.4181  0.00326722
12.64027834      AA     JC   6228066304.0000  -3530652416.0000  0.04837326     -3.0057  0.00622557
12.64027834      AA     LM   1793233280.0000  -3755275520.0000  0.05813146      3.1358  0.00277759
12.64027834      AA     SM   6228073984.0000  -3530719232.0000  0.04631681     -3.0476  0.00490331
12.64027834      AA     SP   3509590016.0000   3949568512.0000  0.13364183      1.1898  0.00514339
12.64027834      AP     SM   6228482560.0000  -3528758784.0000  0.03985858     34.0922  0.04368586
12.64027834      AP     SP   3509998592.0000   3951528704.0000  0.14373862    -21.7489  0.04577217
12.64027834      AP     JC   6228474880.0000  -3528691968.0000  0.05059466     21.3221  0.05521832
12.64027834      AP     LM   1793641856.0000  -3753314816.0000  0.07606146    -17.4390  0.02477099
12.64027834      JC     LM  -4434832896.0000   -224623024.0000  0.08811106    -21.6153  0.04805338
12.64027834      JC     SM         7781.1597       -66740.8984  2.26565719     -0.0000  0.08996026
12.64027834      JC     SP  -2718476288.0000   7480221184.0000  0.23726463     98.4104  0.09060766
