# SRC:SGRA DATE(MJD):57850 FREQ:226.1918GHz
# time(UTC)      T1     T2   U(lambda)        V(lambda)         Iamp(Jy)    Iphase(d)   Isigma(Jy)
12.61805534      AA     JC   6151603712.0000  -3466073344.0000  0.02742916     -4.7128  0.00528062
12.61805534      AA     SM   6151634432.0000  -3466052352.0000  0.03236612      9.4091  0.00432956
12.61805534      AA     AZ   2816678144.0000  -4489462784.0000  0.14805639      3.5699  0.00513746
12.61805534      AA     SP   3443163392.0000   3910814208.0000  0.11550107      0.5438  0.00418916
12.61805534      AP     JC   6152001024.0000  -3464136448.0000  0.09817210    -18.9346  0.04778527
12.61805534      AP     AZ   2817058304.0000  -4487545344.0000  0.10953519    -28.8181  0.04758990
12.61805534      AP     SM   6152031744.0000  -3464115200.0000  0.10286357     46.4797  0.03931601
12.61805534      AP     SP   3443601664.0000   3912727552.0000  0.13691184     23.4386  0.03878747
12.61805534      AZ     JC   3334977792.0000   1023448896.0000  0.24344629      1.9252  0.08615254
12.61805534      AZ     LM  -1037845888.0000    787524736.0000  1.32944947     -1.3133  0.14947779
12.61805534      AZ     SM   3334973952.0000   1023430144.0000  0.27991903     34.9593  0.07073102
12.61805534      AZ     SP    626485120.0000   8400276992.0000  0.13327525     20.4614  0.06834162
12.61805534      JC     LM  -4372824064.0000   -235924176.0000  0.69868143    -65.4787  0.14654732
12.61805534      JC     SM         6933.8325       -65872.0078  2.21320605     -0.0000  0.07619192
12.61805534      JC     SP  -2708317696.0000   7376815104.0000  0.03571248    -46.2476  0.07399628
12.61805534      LM     SM   4372830720.0000    235858288.0000  0.29394928     58.1743  0.12389078
12.61805534      LM     SP   1664506368.0000   7612738560.0000  0.03965413     42.4896  0.12212071
12.61805534      SM     SP  -2708430336.0000   7376842240.0000  0.04197322     19.9037  0.05812502
12.62083340      AA     AP      -398163.6250     -1936854.5000  2.21255005     -1.0924  0.00306591
12.62083340      AA     AZ   2815813632.0000  -4490439680.0000  0.18301255     -3.4407  0.00638428
12.62083340      AA     JC   6151047168.0000  -3468075776.0000  0.03707549    -43.5550  0.00822967
12.62083340      AA     SM   6151054336.0000  -3468141568.0000  0.04050373    -39.4825  0.00401068
12.62083340      AA     SP   3445162752.0000   3909619712.0000  0.13354797     -0.4559  0.00520967
12.62083340      AP     AZ   2816211712.0000  -4488502784.0000  0.19395499    -17.0077  0.03943233
12.62083340      AP     JC   6151445504.0000  -3466138880.0000  0.12402710    -17.6404  0.05068634
12.62083340      AP     LM   1778207872.0000  -3700639488.0000  0.27893439    -27.2685  0.06516736
12.62083340      AP     SM   6151452672.0000  -3466204928.0000  0.04755546     -3.9014  0.02478746
12.62083340      AP     SP   3445560576.0000   3911556608.0000  0.15548740      2.1654  0.03216235
12.62083340      AZ     JC   3335234048.0000   1022364032.0000  0.32907830    -14.5332  0.10581244
12.62083340      AZ     LM  -1038003776.0000    787863168.0000  1.33034269     -5.5937  0.13571333
12.62083340      AZ     SM   3335240704.0000   1022298176.0000  0.28740428    -30.8165  0.05163546
12.62083340      AZ     SP    629349120.0000   8400059392.0000  0.21146618    -51.1217  0.06699158
12.62083340      JC     LM  -4373237760.0000   -234500864.0000  0.10212968    -47.2023  0.17828041
