# SRC:SGRA DATE(MJD):57850 FREQ:227.0707GHz
# time(UTC)      T1     T2   U(lambda)        V(lambda)         Iamp(Jy)    Iphase(d)   Isigma(Jy)
12.46527815      AA     JC   6208023552.0000  -3361883648.0000  0.03995702    -12.7253  0.00662845
12.46527815      AA     SM   6208028160.0000  -3361949440.0000  0.03933494      0.3443  0.00404462
12.46527815      AA     AZ   2877544704.0000  -4453014016.0000  0.20242260     -0.0525  0.00584684
12.46527815      AA     SP   3347776000.0000   3991141120.0000  0.10649292      1.4000  0.00473042
12.46527815      AP     JC   6208392704.0000  -3359931648.0000  0.09248294     15.1433  0.05099465
12.46527815      AP     SM   6208397824.0000  -3359997696.0000  0.06722293      4.7145  0.03182524
12.46527815      AP     SP   3348145408.0000   3993092864.0000  0.10117143     23.4749  0.03720585
12.46527815      AP     AZ   2877914112.0000  -4451062272.0000  0.20033322    -29.0045  0.04619258
12.46527815      AZ     JC   3330478848.0000   1091130752.0000  0.27534968    -33.9667  0.09779799
12.46527815      AZ     SM   3330483968.0000   1091064704.0000  0.30831216     19.6434  0.05979579
12.46527815      AZ     SP    470231424.0000   8444154880.0000  0.12516452    -34.6229  0.06991346
12.46527815      JC     SM         4987.5967       -66016.6875  2.26428223      0.0001  0.07257842
12.46527815      JC     SP  -2860247552.0000   7353025024.0000  0.11170447    -53.2481  0.08296613
12.46527815      SM     SP  -2860252416.0000   7353090560.0000  0.06096436   -170.3827  0.04870214
12.61805534      AA     JC   6178773504.0000  -3482354432.0000  0.03051703    -11.5551  0.00541348
12.61805534      AA     AZ   2830707200.0000  -4508531200.0000  0.14911586      5.1111  0.00511603
12.61805534      AA     SM   6178780672.0000  -3482420480.0000  0.03551404      0.5348  0.00412466
12.61805534      AA     SP   3462692864.0000   3924904192.0000  0.11526128      0.6292  0.00417044
12.61805534      AP     JC   6179173888.0000  -3480410112.0000  0.12512871     10.9122  0.04718035
12.61805534      AP     AZ   2831107840.0000  -4506586624.0000  0.10892559    -25.2202  0.04478314
12.61805534      AP     LM   1786509952.0000  -3715503616.0000  0.50046876    -13.4686  0.07209575
12.61805534      AP     SM   6179181056.0000  -3480476160.0000  0.08537324     55.1425  0.03607872
12.61805534      AP     SP   3463092992.0000   3926848512.0000  0.13072868     37.7409  0.03642617
12.61805534      AZ     JC   3348066048.0000   1026176896.0000  0.34101505      3.5001  0.08664867
12.61805534      AZ     LM  -1044597824.0000    791083648.0000  1.32441360      0.2788  0.13205929
12.61805534      AZ     SM   3348073472.0000   1026110784.0000  0.30258035     30.5596  0.06611438
12.61805534      AZ     SP    631985280.0000   8433435136.0000  0.10062114     25.6282  0.06683149
12.61805534      JC     SM         7367.8940       -66136.8516  2.20976329      0.0000  0.07482891
12.61805534      JC     SP  -2716080640.0000   7407259136.0000  0.07210249     11.9599  0.07436612
12.61805534      LM     SM   4392671232.0000    235027168.0000  0.31136751     45.9259  0.10674377
12.61805534      LM     SP   1676583040.0000   7642352128.0000  0.04280117   -152.2535  0.10784292
12.61805534      SM     SP  -2716088064.0000   7407325184.0000  0.02906737     10.0439  0.05429328
12.62083340      AA     JC   6178149376.0000  -3484539392.0000  0.04209899      0.0174  0.00816404
12.62083340      AA     AZ   2829813248.0000  -4509532160.0000  0.17891196      3.1653  0.00650564
12.62083340      AA     LM   1785046272.0000  -3718078976.0000  0.31180366      0.0404  0.01110764
12.62083340      AA     SM   6178156544.0000  -3484605184.0000  0.04536562      3.7616  0.00441880
12.62083340      AA     AP      -401038.5000     -1944271.0000  2.21224833     -0.9480  0.00310125
12.62083340      AA     SP   3464730880.0000   3923679232.0000  0.13375020      1.6501  0.00530714
12.62083340      AP     JC   6178550784.0000  -3482594816.0000  0.12040378      5.4554  0.04882701
12.62083340      AP     AZ   2830214400.0000  -4507587584.0000  0.19724760    -13.3797  0.03907887
12.62083340      AP     LM   1785447296.0000  -3716134912.0000  0.29589032    -24.5597  0.06672647
12.62083340      AP     SM   6178557952.0000  -3482661120.0000  0.04764651     49.1274  0.02652243
12.62083340      AP     SP   3465132032.0000   3925623296.0000  0.15245194     -3.4884  0.03180981
12.62083340      AZ     JC   3348335872.0000   1024992896.0000  0.39418130      9.5924  0.10273450
12.62083340      AZ     LM  -1044767168.0000    791452992.0000  1.32135866    -11.3440  0.14000806
12.62083340      AZ     SM   3348343296.0000   1024926848.0000  0.30617653     16.7651  0.05568149
12.62083340      AZ     SP    634917632.0000   8433211392.0000  0.22967268    -63.6262  0.06686347
12.62083340      JC     LM  -4393102848.0000   -233539936.0000  0.12609341    -95.8670  0.17880741
12.62083340      JC     SM         7411.0747       -66139.4688  2.20865536     -0.0000  0.07480935
12.62083340      JC     SP  -2713418240.0000   7408218112.0000  0.11769033    155.3595  0.08825786
12.62083340      LM     SM   4393110528.0000    233473792.0000  0.30120694     25.4757  0.09534386
12.62083340      LM     SP   1679684736.0000   7641758208.0000  0.23427392     80.5586  0.11442206
12.62083340      SM     SP  -2713425664.0000   7408284160.0000  0.03539279   -101.8224  0.04576635
12.62361145      AA     JC   6177522176.0000  -3486723840.0000  0.02962027    -11.0922  0.00673795
12.62361145      AA     AZ   2828918016.0000  -4510532608.0000  0.14093503      5.2492  0.00509172
12.62361145      AA     LM   1783981952.0000  -3718710016.0000  0.19769018      3.2839  0.00992360
12.62361145      AA     SM   6177529344.0000  -3486790144.0000  0.02941405     -1.2786  0.00313893
12.62361145      AA     AP      -401593.5938     -1944129.1250  2.21087305     -0.9147  0.00308937
12.62361145      AA     SP   3466767616.0000   3922453504.0000  0.11121160      1.9495  0.00415676
12.62361145      AP     JC   6177923584.0000  -3484779520.0000  0.06359683     -8.9407  0.06555122
12.62361145      AP     AZ   2829319424.0000  -4508588544.0000  0.10652149      0.6400  0.04975268
12.62361145      AP     LM   1784383744.0000  -3716765952.0000  0.16905391     -3.6612  0.09697071
12.62361145      AP     SM   6177931264.0000  -3484845824.0000  0.04499538    -16.6545  0.03064931
12.62361145      AP     SP   3467169024.0000   3924397824.0000  0.19359706     15.9183  0.04052800
12.62361145      AZ     JC   3348604160.0000   1023808832.0000  0.29758641      6.2702  0.10836065
12.62361145      AZ     LM  -1044935872.0000    791822464.0000  1.31460104     -9.3099  0.15985814
12.62361145      AZ     SM   3348611584.0000   1023742784.0000  0.24946163     19.3322  0.05055485
12.62361145      AZ     SP    637849664.0000   8432986624.0000  0.06927364    -25.4724  0.06693037
12.62361145      JC     LM  -4393540096.0000   -231986368.0000  0.23035518    -65.2482  0.21521403
12.62361145      JC     SM         7454.2510       -66142.0938  2.20975518      0.0000  0.07176857
12.62361145      JC     SP  -2710754560.0000   7409176576.0000  0.06232702     19.4791  0.09318200
12.62361145      LM     SM   4393547776.0000    231920240.0000  0.30352777      1.9043  0.09881614
12.62361145      LM     SP   1682785536.0000   7641163264.0000  0.11421753     53.2909  0.13073743
12.62361145      SM     SP  -2710761984.0000   7409243648.0000  0.03498163   -155.6224  0.04159526
12.62638950      AA     JC   6176891392.0000  -3488908288.0000  0.03691030    -14.9492  0.00651511
12.62638950      AA     AP      -402148.4688     -1943987.0000  2.20962040     -0.9056  0.00308232
12.62638950      AA     AZ   2828020992.0000  -4511532544.0000  0.17161619      3.1029  0.00590074
12.62638950      AA     LM   1782916864.0000  -3719341056.0000  0.26206662      1.4082  0.01144748
12.62638950      AA     SM   6176899584.0000  -3488974336.0000  0.03618771      0.4471  0.00438506
12.62638950      AA     SP   3468802304.0000   3921227520.0000  0.12593764      1.1387  0.00482079
12.62638950      AP     JC   6177293824.0000  -3486964224.0000  0.02823468    -51.9570  0.04692695
12.62638950      AP     AZ   2828423168.0000  -4509588992.0000  0.11215835     -5.7271  0.04284456
12.62638950      AP     SM   6177300992.0000  -3487030272.0000  0.06072262      1.7687  0.03179893
12.62638950      AP     LM   1783319168.0000  -3717396736.0000  0.37681143     26.1832  0.08311429
12.62638950      AP     SP   3469204480.0000   3923171328.0000  0.16199340    -17.0796  0.03491537
12.62638950      AZ     JC   3348870656.0000   1022624704.0000  0.38777697     -6.3845  0.09043406
12.62638950      AZ     LM  -1045104192.0000    792192000.0000  1.31360455    -12.1161  0.15916745
12.62638950      AZ     SM   3348878080.0000   1022558528.0000  0.34527097      3.2921  0.06095276
12.62638950      AZ     SP    640781312.0000   8432760832.0000  0.13863347   -126.7380  0.06699726
12.62638950      JC     LM  -4393974784.0000   -230432656.0000  0.43283992    -21.6778  0.17879947
12.62638950      JC     SM         7497.4233       -66144.7422  2.20863080      0.0000  0.07236288
12.62638950      JC     SP  -2708089344.0000   7410136064.0000  0.02433112      6.3901  0.07784223
12.62638950      LM     SM   4393982464.0000    230366512.0000  0.34449781     41.6901  0.11860764
12.62638950      LM     SP   1685885440.0000   7640568832.0000  0.21873140    -68.1322  0.13027056
12.62638950      SM     SP  -2708096768.0000   7410202112.0000  0.08669338   -179.7025  0.05020385
12.62916613      AA     JC   6176257536.0000  -3491092224.0000  0.03677612    -17.8819  0.00606872
12.62916613      AA     AP      -402703.0938     -1943844.7500  2.20819583     -0.8793  0.00307534
12.62916613      AA     AZ   2827122432.0000  -4512532480.0000  0.14903230      1.0186  0.00540051
12.62916613      AA     LM   1781850880.0000  -3719971072.0000  0.22399451     -4.0946  0.01090316
12.62916613      AA     SM   6176265216.0000  -3491158272.0000  0.03910766     -1.5970  0.00426873
12.62916613      AA     SP   3470835200.0000   3920000512.0000  0.11399217      0.2762  0.00441535
12.62916613      AP     JC   6176660480.0000  -3489148416.0000  0.04904134    -35.2976  0.05216784
12.62916613      AP     AZ   2827525120.0000  -4510588928.0000  0.21468356      1.8363  0.04671797
12.62916613      AP     SM   6176668160.0000  -3489214720.0000  0.06942116     80.9044  0.03688524
12.62916613      AP     LM   1782253568.0000  -3718027264.0000  0.22360691     -6.5157  0.09431747
12.62916613      AP     SP   3471237888.0000   3921944320.0000  0.09124179     27.2221  0.03810262
12.62916613      AZ     JC   3349135104.0000   1021440448.0000  0.36035632     12.6650  0.09206375
12.62916613      AZ     LM  -1045271808.0000    792561600.0000  1.31029951    -14.0572  0.16568480
12.62916613      AZ     SM   3349142784.0000   1021374272.0000  0.32257154     12.3544  0.06484927
12.62916613      AZ     SP    643712640.0000   8432532992.0000  0.10872631   -103.3181  0.06706414
12.62916613      JC     LM  -4394406912.0000   -228878816.0000  0.34034573     -6.1940  0.18939268
12.62916613      JC     SM         7540.5913       -66147.3984  2.20376921      0.0000  0.07838552
12.62916613      JC     SP  -2705422848.0000   7411092992.0000  0.16158898     97.7478  0.07932215
12.62916613      LM     SM   4394414592.0000    228812672.0000  0.18592843     14.7289  0.13132107
12.62916613      LM     SP   1688984448.0000   7639971840.0000  0.24693763    100.4909  0.13570300
12.62916613      SM     SP  -2705430016.0000   7411158528.0000  0.05452422   -160.6238  0.05345710
12.63194418      AA     JC   6175620608.0000  -3493276160.0000  0.04037221     16.3144  0.00698017
12.63194418      AA     AZ   2826222592.0000  -4513532416.0000  0.14749181      3.5494  0.00541728
12.63194418      AA     LM   1780783616.0000  -3720600832.0000  0.21072041     -1.6090  0.01186311
12.63194418      AA     SM   6175628288.0000  -3493342208.0000  0.04305076     -0.0378  0.00409876
12.63194418      AA     AP      -403257.5312     -1943702.2500  2.20667385     -0.8643  0.00306538
12.63194418      AA     SP   3472866048.0000   3918772736.0000  0.11300747      1.1345  0.00443232
12.63194418      AP     JC   6176024064.0000  -3491332352.0000  0.14601546    -62.4106  0.05957244
12.63194418      AP     AZ   2826625792.0000  -4511588352.0000  0.13096377      9.0345  0.04643640
12.63194418      AP     LM   1781186816.0000  -3718657536.0000  0.18988870     -7.3961  0.10169537
12.63194418      AP     SM   6176031232.0000  -3491398656.0000  0.09390266    -49.6601  0.03510743
12.63194418      AP     SP   3473269504.0000   3920716544.0000  0.11834488     14.1293  0.03791003
12.63194418      AZ     JC   3349398016.0000   1020256064.0000  0.33244100     29.0232  0.10558955
12.63194418      AZ     LM  -1045438848.0000    792931264.0000  1.30405377     -7.3869  0.17976147
12.63194418      AZ     SM   3349405696.0000   1020189888.0000  0.32612051     21.6344  0.06209263
12.63194418      AZ     SP    646643648.0000   8432304640.0000  0.04327343     25.1167  0.06713109
12.63194418      JC     LM  -4394836992.0000   -227324800.0000  0.32700233    -98.8812  0.23565165
12.63194418      JC     SM         7583.7554       -66150.0703  2.19729185      0.0000  0.08581359
12.63194418      JC     SP  -2702754560.0000   7412048384.0000  0.15542067     81.5614  0.09106450
12.63194418      LM     SM   4394844672.0000    227258640.0000  0.36178249     38.7645  0.13637239
12.63194418      LM     SP   1692082560.0000   7639373312.0000  0.07640210     68.7971  0.14734482
12.63194418      SM     SP  -2702761984.0000   7412115456.0000  0.07735132    163.1615  0.05120605
12.63472223      AA     JC   6174980096.0000  -3495459840.0000  0.04242271     16.8597  0.00744320
12.63472223      AA     AZ   2825320960.0000  -4514531328.0000  0.16419630      4.3131  0.00564434
12.63472223      AA     LM   1779715584.0000  -3721230592.0000  0.23217540     -3.8509  0.01286425
12.63472223      AA     SM   6174987776.0000  -3495525888.0000  0.03751939      4.0086  0.00396742
12.63472223      AA     AP      -403811.7500     -1943559.5000  2.20537448     -0.6881  0.00304694
12.63472223      AA     SP   3474895360.0000   3917544448.0000  0.12323631      2.4557  0.00462150
12.63472223      AP     JC   6175384576.0000  -3493516288.0000  0.08420081     20.3952  0.05817956
12.63472223      AP     AZ   2825724672.0000  -4512587776.0000  0.16736340     10.2921  0.04431192
12.63472223      AP     LM   1780119552.0000  -3719287296.0000  0.13318331     11.0342  0.10099912
12.63472223      AP     SM   6175391744.0000  -3493582336.0000  0.07723957     37.5362  0.03112277
12.63472223      AP     SP   3475299072.0000   3919487744.0000  0.14489988     11.6472  0.03620218
12.63472223      AZ     JC   3349659136.0000   1019071616.0000  0.14291300     67.4378  0.10809181
12.63472223      AZ     LM  -1045605376.0000    793300992.0000  1.29986072     -8.4422  0.18713949
12.63472223      AZ     SM   3349666816.0000   1019005504.0000  0.27810238     31.3881  0.05770001
12.63472223      AZ     SP    649574336.0000   8432075776.0000  0.18600333     35.0259  0.06719803
12.63472223      JC     LM  -4395264512.0000   -225770640.0000  0.29705945     21.9418  0.25110441
12.63472223      JC     SM         7626.9160       -66152.7656  2.19832253      0.0000  0.08177538
12.63472223      JC     SP  -2700084992.0000   7413004288.0000  0.17274838    173.5453  0.09331315
12.63472223      LM     SM   4395272192.0000    225704480.0000  0.21750225      5.1969  0.13190644
12.63472223      LM     SP   1695179648.0000   7638774784.0000  0.30681177    150.3620  0.15350876
12.63472223      SM     SP  -2700092416.0000   7413070336.0000  0.07101308     75.0950  0.04763245
12.63750029      AA     JC   6174336512.0000  -3497643520.0000  0.03908800     -6.3249  0.00654114
12.63750029      AA     AP      -404365.7500     -1943416.6250  2.20389725     -0.6883  0.00305681
12.63750029      AA     AZ   2824418048.0000  -4515530240.0000  0.13862624      3.3041  0.00528937
12.63750029      AA     LM   1778646528.0000  -3721859584.0000  0.22004623     -0.8284  0.01305741
12.63750029      AA     SM   6174344192.0000  -3497709568.0000  0.03918827     -0.6007  0.00377436
12.63750029      AA     SP   3476922880.0000   3916315392.0000  0.11464012      0.3349  0.00433402
12.63750029      AP     JC   6174740992.0000  -3495699968.0000  0.13909645    -76.4491  0.05819462
12.63750029      AP     AZ   2824822272.0000  -4513587200.0000  0.06735499     -1.2972  0.04745367
12.63750029      AP     SM   6174748672.0000  -3495766016.0000  0.04060006    -31.0645  0.03381765
12.63750029      AP     LM   1779050880.0000  -3719916288.0000  0.38082893     26.8821  0.11713541
12.63750029      AZ     JC   3349918464.0000   1017886976.0000  0.32487347     20.3749  0.10139243
12.63750029      AZ     SP    652504640.0000   8431845376.0000  0.09139304    -10.6750  0.06726532
12.63750029      AZ     SM   3349926144.0000   1017820928.0000  0.34790295     16.1648  0.05859195
12.63750029      JC     LM  -4395689984.0000   -224216320.0000  0.29256921     -6.8749  0.25515883
12.63750029      JC     SM         7670.0713       -66155.4688  2.19856644      0.0000  0.07764348
12.63750029      JC     SP  -2697413888.0000   7413958656.0000  0.07830688    -64.6363  0.08761474
12.63750029      LM     SM   4395697664.0000    224150176.0000  0.27316655     45.5054  0.14506447
12.63750029      LM     SP   1698275968.0000   7638174720.0000  0.12693027    -41.8840  0.16644112
12.64027834      AA     JC   6173689344.0000  -3499826432.0000  0.02072834      3.0312  0.00687420
12.64027834      AA     AP      -404919.5938     -1943273.5000  2.20243517     -0.6894  0.00307718
12.64027834      AA     AZ   2823513600.0000  -4516529152.0000  0.16615597      2.8806  0.00570968
12.64027834      AA     LM   1777576704.0000  -3722488576.0000  0.27274316     -3.3763  0.01315750
12.64027834      AA     SP   3478948096.0000   3915085312.0000  0.12930453      0.5285  0.00468187
12.64027834      AP     JC   6174094336.0000  -3497883392.0000  0.06791293    -69.8833  0.05295121
12.64027834      AP     AZ   2823918336.0000  -4514585600.0000  0.18599965      1.0745  0.04426564
12.64027834      AP     SM   6174102016.0000  -3497949440.0000  0.06557947     21.9363  0.03277574
12.64027834      AP     LM   1777981696.0000  -3720545024.0000  0.23441859     -8.7556  0.10200386
12.64027834      AZ     JC   3350176000.0000   1016702400.0000  0.26231908     -8.1000  0.09873639
12.64027834      AZ     SM   3350183680.0000   1016636352.0000  0.34734531      0.7496  0.06087355
12.64027834      AZ     SP    655434560.0000   8431613440.0000  0.00742850    170.5109  0.06733197
12.64027834      JC     SM         7713.2241       -66158.1875  2.19656825      0.0000  0.07835489
12.64027834      JC     SP  -2694741504.0000   7414912000.0000  0.15487796    179.9322  0.08540242
12.64027834      LM     SM   4396120576.0000    222595728.0000  0.44633024     23.2099  0.14067473
12.64027834      LM     SP   1701371392.0000   7637573632.0000  0.29550677    -21.5133  0.15552589
12.64027834      SM     SP  -2694749440.0000   7414978048.0000  0.06778850    -50.9676  0.05029649
12.64305496      AA     JC   6173039104.0000  -3502009856.0000  0.05084576     -9.2127  0.00788368
12.64305496      AA     AZ   2822607872.0000  -4517527040.0000  0.17132085      3.0741  0.00614753
12.64305496      AA     LM   1776505856.0000  -3723116544.0000  0.32022641      0.5617  0.01464789
12.64305496      AA     SM   6173047296.0000  -3502075648.0000  0.04156138     -1.4329  0.00433451
12.64305496      AA     AP      -405473.1250     -1943130.3750  2.20090035     -0.6668  0.00307012
12.64305496      AA     SP   3480971776.0000   3913854976.0000  0.13403405      2.2584  0.00504460
12.64305496      AP     JC   6173444608.0000  -3500066304.0000  0.08702456     -4.9347  0.05238417
12.64305496      AP     AZ   2823013120.0000  -4515584000.0000  0.18665564    -23.9788  0.04102672
12.64305496      AP     LM   1776911488.0000  -3721173504.0000  0.36967616     14.5595  0.09776081
12.64305496      AP     SM   6173452288.0000  -3500132608.0000  0.10324365    -40.5969  0.02890729
12.64305496      AP     SP   3481377280.0000   3915798016.0000  0.09197114     -6.6078  0.03359189
12.64305496      AZ     SM   3350439680.0000   1015451648.0000  0.28203929     15.4865  0.05792642
12.64305496      AZ     SP    658364160.0000   8431382016.0000  0.05680578    134.4412  0.06739892
12.64305496      JC     LM  -4396533248.0000   -221107248.0000  0.27587321    -28.0516  0.25554987
12.64305496      JC     SM         7756.3711       -66160.9219  2.19449139     -0.0000  0.07911111
12.64305496      JC     SP  -2692067584.0000   7415864320.0000  0.06515878    174.8520  0.09107859
12.64305496      LM     SM   4396541440.0000    221041088.0000  0.27124238     12.7846  0.13839103
12.64305496      LM     SP   1704465920.0000   7636972032.0000  0.14730216    -46.1314  0.16097421
12.64305496      SM     SP  -2692075264.0000   7415930368.0000  0.07099789    156.2550  0.04787459
12.64583302      AA     JC   6172385792.0000  -3504192512.0000  0.03227605     22.5303  0.00726803
12.64583302      AA     AP      -406026.5000     -1942986.8750  2.19953141     -0.6477  0.00311032
12.64583302      AA     AZ   2821700096.0000  -4518525440.0000  0.14903424      2.2260  0.00520872
12.64583302      AA     LM   1775434112.0000  -3723744768.0000  0.22311329     -1.8277  0.00810394
12.64583302      AA     SM   6172393472.0000  -3504258560.0000  0.03537843      1.0706  0.00332650
12.64583302      AA     SP   3482993408.0000   3912623360.0000  0.10857562      0.7946  0.00427736
12.64583302      AP     JC   6172791808.0000  -3502249216.0000  0.02552972    -31.4378  0.06792417
12.64583302      AP     AZ   2822106112.0000  -4516582400.0000  0.14266723     -0.4074  0.04907583
12.64583302      AP     SM   6172799488.0000  -3502315520.0000  0.07848418     45.8105  0.03130224
12.64583302      AP     LM   1775840128.0000  -3721801728.0000  0.28675912    -30.9869  0.07634778
12.64583302      AP     SP   3483399424.0000   3914566400.0000  0.09784585     -1.6162  0.04019556
12.64583302      AZ     JC   3350685696.0000   1014332928.0000  0.36063448     24.7737  0.11449075
12.64583302      AZ     LM  -1046266048.0000    794780416.0000  1.31303641    -16.2905  0.12788342
12.64583302      AZ     SM   3350693632.0000   1014266752.0000  0.27695754     10.2897  0.05247934
12.64583302      AZ     SP    661293440.0000   8431148544.0000  0.00398699   -134.3535  0.06746592
12.64583302      JC     LM  -4396951552.0000   -219552512.0000  0.24438586    -97.9471  0.18162607
12.64583302      JC     SM         7799.5151       -66163.6719  2.19422817      0.0000  0.07798034
12.64583302      JC     SP  -2689392384.0000   7416815104.0000  0.20268835   -124.4808  0.09922127
12.64583302      LM     SM   4396959744.0000    219486336.0000  0.19386763     22.1865  0.08186831
12.64583302      LM     SP   1707559424.0000   7636367872.0000  0.11288407   -101.1465  0.10521751
12.64861107      AA     JC   6171729408.0000  -3506374912.0000  0.04282323    -12.4948  0.00637572
12.64861107      AA     AZ   2820791296.0000  -4519522816.0000  0.14924980      1.4972  0.00562821
12.64861107      AA     LM   1774361472.0000  -3724372480.0000  0.28882960      0.0148  0.00975216
12.64861107      AA     SM   6171736576.0000  -3506440960.0000  0.04127079     -1.2374  0.00459207
12.64861107      AA     AP      -406579.6250     -1942843.1250  2.19769664     -0.6067  0.00313443
12.64861107      AA     SP   3485013504.0000   3911391744.0000  0.11500117      0.2354  0.00462522
12.64861107      AP     JC   6172135424.0000  -3504432128.0000  0.06042772    -17.5039  0.05162910
12.64861107      AP     AZ   2821197568.0000  -4517579776.0000  0.09417621     -8.0656  0.04577505
12.64861107      AP     LM   1774767872.0000  -3722429696.0000  0.38757265     12.2698  0.07932075
12.64861107      AP     SM   6172143616.0000  -3504498176.0000  0.05695936    -57.2998  0.03732060
12.64861107      AP     SP   3485420032.0000   3913334272.0000  0.09800999      4.5802  0.03753452
12.64861107      AZ     JC   3350937856.0000   1013147904.0000  0.24547173     32.7682  0.09297201
12.64861107      AZ     LM  -1046429824.0000    795150400.0000  1.30838711      6.4997  0.14246146
12.64861107      AZ     SM   3350945792.0000   1013081856.0000  0.29622309     20.7158  0.06706424
12.64861107      AZ     SP    664222400.0000   8430914048.0000  0.08745506    -47.0720  0.06753292
12.64861107      JC     LM  -4397367808.0000   -217997584.0000  0.44468517     -6.8723  0.16423423
12.64861107      JC     SM         7842.6548       -66166.4375  2.19121766     -0.0000  0.08117584
12.64861107      JC     SP  -2686715648.0000   7417765888.0000  0.16317288   -170.4168  0.08065048
12.64861107      LM     SM   4397375488.0000    217931424.0000  0.32319336    -10.0336  0.11653127
12.64861107      LM     SP   1710652160.0000   7635764224.0000  0.18358947      3.4167  0.11729640
12.65138912      AA     JC   6171068928.0000  -3508557056.0000  0.03093382    -14.7486  0.00563595
12.65138912      AA     AP      -407132.5625     -1942699.3750  2.19646007     -0.6291  0.00306150
12.65138912      AA     AZ   2819880448.0000  -4520520192.0000  0.14244084      3.8045  0.00527382
12.65138912      AA     LM   1773287552.0000  -3724999680.0000  0.28324161      1.8626  0.00847101
12.65138912      AA     SM   6171076608.0000  -3508623360.0000  0.03531061      4.7931  0.00422279
12.65138912      AA     SP   3487031552.0000   3910158848.0000  0.11126234      0.0441  0.00433716
12.65138912      AP     JC   6171476480.0000  -3506614528.0000  0.13464840     16.7503  0.05075489
12.65138912      AP     AZ   2820287744.0000  -4518577664.0000  0.15547640     36.1267  0.04772709
12.65138912      AP     SM   6171483648.0000  -3506680576.0000  0.10036715    -59.1701  0.03818396
12.65138912      AP     LM   1773694720.0000  -3723056896.0000  0.27810193      9.0788  0.07666372
12.65138912      AP     SP   3487438592.0000   3912101376.0000  0.10464429     11.6781  0.03916130
12.65138912      AZ     JC   3351188480.0000   1011963008.0000  0.38030134     39.2068  0.08772869
12.65138912      AZ     LM  -1046592960.0000    795520448.0000  1.30960381     -3.7679  0.13209532
12.65138912      AZ     SM   3351196160.0000   1011896832.0000  0.27905376      9.6241  0.06583241
12.65138912      AZ     SP    667150912.0000   8430679040.0000  0.13508605    -62.6536  0.06759996
12.65138912      JC     LM  -4397781504.0000   -216442544.0000  0.30577822      4.3713  0.14362554
12.65138912      JC     SM         7885.7896       -66169.2188  2.19310188     -0.0000  0.07535244
12.65138912      JC     SP  -2684037376.0000   7418716160.0000  0.11162294     79.6269  0.07617568
12.65138912      LM     SM   4397789184.0000    216376368.0000  0.25512575     55.8765  0.10604679
12.65138912      LM     SP   1713743872.0000   7635158528.0000  0.19816151    -87.1423  0.10883890
12.65138912      SM     SP  -2684045312.0000   7418782208.0000  0.07321169    135.4760  0.05457413
12.65416718      AA     JC   6170405376.0000  -3510739200.0000  0.03057167      8.6705  0.00790722
12.65416718      AA     AZ   2818968576.0000  -4521517056.0000  0.15383767     -0.3894  0.00570493
12.65416718      AA     LM   1772212992.0000  -3725626880.0000  0.25306293      3.5338  0.00652148
12.65416718      AA     SM   6170413568.0000  -3510805504.0000  0.03584519     -2.2100  0.00345005
12.65416718      AA     AP      -407685.2812     -1942555.2500  2.19463330     -0.5673  0.00313802
12.65416718      AA     SP   3489047552.0000   3908924928.0000  0.11838061      0.7589  0.00469397
12.65416718      AP     JC   6170812928.0000  -3508796672.0000  0.03478018     91.8124  0.06245569
12.65416718      AP     AZ   2819376384.0000  -4519574528.0000  0.13313131     -0.5939  0.04525740
12.65416718      AP     LM   1772620672.0000  -3723684352.0000  0.35218711     -4.1961  0.05173793
12.65416718      AP     SM   6170821120.0000  -3508862976.0000  0.04470988     16.4912  0.02734958
12.65416718      AP     SP   3489455360.0000   3910867712.0000  0.08672993     -0.1692  0.03715492
12.65416718      AZ     JC   3351437056.0000   1010777920.0000  0.29223354     -0.7021  0.11383986
12.65416718      AZ     SP    670079104.0000   8430443008.0000  0.17571503   -135.4686  0.06768186
12.65416718      AZ     LM  -1046755584.0000    795890624.0000  1.31458194     -0.7837  0.09408030
12.65416718      AZ     SM   3351445248.0000   1010711744.0000  0.26539576     27.9526  0.04975804
12.65416718      JC     LM  -4398192640.0000   -214887328.0000  0.40752696    -27.8907  0.13269733
12.65416718      JC     SM         7928.9219       -66172.0156  2.19228411     -0.0000  0.07380953
12.65416718      JC     SP  -2681357824.0000   7419664384.0000  0.16873831     57.6550  0.09894380
