# SRC:SGRA DATE(MJD):57849 FREQ:227.0707GHz
# time(UTC)      T1     T2   U(lambda)        V(lambda)         Iamp(Jy)    Iphase(d)   Isigma(Jy)
08.40138888      AA     SP  -1026551040.0000   4668970496.0000  0.11711131     -4.1296  0.00190629
08.40138888      AP     SP  -1027065088.0000   4670880256.0000  0.11872154      2.3505  0.01334653
08.40416694      AA     AP       513430.2500     -1909943.5000  0.99944481     -1.6021  0.00104887
08.40416694      AP     SP  -1023906048.0000   4671243264.0000  0.09718982     13.9110  0.01671654
08.40694427      AP     SP  -1020746496.0000   4671604736.0000  0.12113020     -6.1321  0.01493639
08.40972233      AA     SP  -1017074112.0000   4670054912.0000  0.10361748     -3.8195  0.00169686
08.40972233      AP     SP  -1017586496.0000   4671965184.0000  0.11151113      3.7964  0.01782470
08.41249967      AA     AP       511918.3750     -1910487.2500  0.99942180     -1.5839  0.00108035
08.41249967      AA     SP  -1013913920.0000   4670413824.0000  0.11924658     -3.0475  0.00200327
08.41249967      AP     SP  -1014425856.0000   4672324608.0000  0.11803515    -11.2038  0.01385069
08.41527772      AA     AP       511413.8438     -1910668.3750  0.99941898     -1.6004  0.00105816
08.41527772      AA     SP  -1010753280.0000   4670771712.0000  0.11136826     -2.4494  0.00186276
08.41527772      AP     SP  -1011264704.0000   4672682496.0000  0.11303426    -12.7670  0.01461804
08.41805577      AA     AP       510909.0625     -1910849.1250  0.99947949     -1.4845  0.00106906
08.41805577      AA     SP  -1007592128.0000   4671128576.0000  0.10814797     -3.1774  0.00180337
08.41805577      AP     SP  -1008103040.0000   4673039360.0000  0.10918307      7.1806  0.01528234
08.42083311      AA     SP  -1004430464.0000   4671484416.0000  0.10868569     -2.8796  0.00185269
08.42361116      AA     SP  -1001268160.0000   4671839232.0000  0.11310444     -2.4150  0.00185986
08.42638922      AA     SP   -998105344.0000   4672192512.0000  0.11127606     -0.6945  0.00185878
08.42916656      AA     SP   -994942080.0000   4672544768.0000  0.11303335     -2.0062  0.00186117
08.43194461      AA     SP   -991778304.0000   4672896000.0000  0.11106618     -2.4421  0.00186165
08.43472195      AA     SP   -988613824.0000   4673246208.0000  0.11013532     -1.9893  0.00186779
08.44027805      AA     SP   -982283520.0000   4673943552.0000  0.10619027     -1.4826  0.00211142
08.44305539      AA     SP   -979117632.0000   4674290176.0000  0.10669201     -2.0756  0.00205179
08.44583344      AA     SP   -975951104.0000   4674635776.0000  0.10698837     -0.9295  0.00187357
08.44861078      AA     SP   -972784128.0000   4674980864.0000  0.10962958     -1.1167  0.00192764
08.45138884      AA     SP   -969616640.0000   4675323904.0000  0.10803655     -0.8106  0.00187743
08.45416689      AA     SP   -966448640.0000   4675665920.0000  0.10784770     -0.6252  0.00187628
08.45694423      AA     SP   -963280192.0000   4676007424.0000  0.10377316     -0.0430  0.00187834
08.45972228      AA     SP   -960110976.0000   4676347392.0000  0.10849857      0.0533  0.00187508
08.46250033      AA     SP   -956941504.0000   4676686336.0000  0.10454028     -0.2284  0.00196089
08.46527767      AA     SP   -953771456.0000   4677024256.0000  0.10320047      0.3697  0.00197732
08.46805573      AA     SP   -950600896.0000   4677360640.0000  0.10023924     -0.3574  0.00188543
08.47083306      AA     SP   -947429824.0000   4677696512.0000  0.10377740      0.0461  0.00188422
08.47361112      AA     SP   -944258240.0000   4678030848.0000  0.10538766     -0.0795  0.00188064
08.47638917      AA     SP   -941086208.0000   4678364160.0000  0.10172984      0.1301  0.00188875
08.47916651      AA     SP   -937913600.0000   4678696448.0000  0.09921755      0.8744  0.00192150
08.48749995      AA     SP   -928392896.0000   4679686144.0000  0.10011896      0.8031  0.00189475
08.49027801      AA     SP   -925218304.0000   4680013824.0000  0.10383445      1.2294  0.00189098
08.49305534      AA     SP   -922043328.0000   4680340480.0000  0.09619809      0.9526  0.00189771
08.49583340      AA     SP   -918867776.0000   4680666112.0000  0.09875226      1.9370  0.00190269
08.49861145      AA     SP   -915691712.0000   4680990720.0000  0.09842185      1.9907  0.00189844
08.50138879      AA     SP   -912515136.0000   4681313792.0000  0.10150391      3.6567  0.00189923
08.50416684      AA     SP   -909338240.0000   4681635840.0000  0.09456786      2.1279  0.00189594
08.50694418      AA     SP   -906160576.0000   4681956864.0000  0.09484363      3.4053  0.00189407
08.50972223      AA     SP   -902982720.0000   4682276864.0000  0.09818893      2.3157  0.00189453
08.51250029      AA     SP   -899804288.0000   4682595328.0000  0.09351165      3.9371  0.00189425
08.51527762      AA     SP   -896625344.0000   4682913280.0000  0.09305193      4.3355  0.00189329
08.51805568      AA     SP   -893445888.0000   4683229696.0000  0.09750861      3.5383  0.00189476
08.52083302      AA     SP   -890266048.0000   4683545088.0000  0.09513474      3.6377  0.00189527
08.52361107      AA     SP   -887085696.0000   4683859456.0000  0.09289660      4.3314  0.00189486
08.52638912      AA     SP   -883904832.0000   4684172288.0000  0.09369197      4.0489  0.00188964
08.52916646      AA     SP   -880723520.0000   4684484608.0000  0.09486942      4.5635  0.00189125
08.53194451      AA     SP   -877541760.0000   4684795392.0000  0.09409580      5.1984  0.00190410
08.58472252      AA     SP   -817001536.0000   4690487808.0000  0.08844973     -1.6153  0.00161053
08.58472252      AP     SP   -817481664.0000   4692409344.0000  0.08788958     27.0815  0.01749712
08.58749986      AA     AP       479613.4375     -1921533.7500  0.99957187     -0.3428  0.00105935
08.58749986      AP     SP   -814290368.0000   4692697600.0000  0.09332272    -11.6691  0.01440724
08.59027791      AA     SP   -810619520.0000   4691063296.0000  0.09884328     -0.7721  0.00179797
08.59027791      AP     SP   -811098624.0000   4692985344.0000  0.09999349     -2.3383  0.01559655
08.59305525      AA     AP       478570.9375     -1921872.6250  0.99944999     -0.3624  0.00105786
08.59305525      AA     SP   -807427904.0000   4691349504.0000  0.10309262     -1.2194  0.00176222
08.59305525      AP     SP   -807906496.0000   4693271552.0000  0.10619863      6.8933  0.01581543
08.59583330      AA     SP   -804235840.0000   4691634688.0000  0.08921511     -1.9227  0.00156774
08.59583330      AP     SP   -804713856.0000   4693556736.0000  0.09140464      3.5120  0.01796981
08.59861135      AA     AP       477527.4375     -1922210.7500  0.99941254     -0.3903  0.00106103
08.59861135      AA     SP   -801043328.0000   4691918336.0000  0.11455397     -1.0484  0.00195976
08.59861135      AP     SP   -801520896.0000   4693840384.0000  0.11479170     -6.2882  0.01424946
08.60138869      AA     AP       477005.3125     -1922379.5000  0.99950366     -0.3727  0.00105654
08.60138869      AA     SP   -797850432.0000   4692200960.0000  0.12048670     -1.4043  0.00206981
08.60138869      AP     SP   -798327424.0000   4694123520.0000  0.11930028     11.4512  0.01342963
08.60416675      AA     SP   -794657088.0000   4692482560.0000  0.10227006     -1.0447  0.00178840
08.60416675      AP     SP   -795133568.0000   4694405120.0000  0.10411932      6.5104  0.01506154
08.60694480      AA     AP       475960.2500     -1922716.5000  0.99944519     -0.3887  0.00105664
08.60694480      AA     SP   -791463296.0000   4692763136.0000  0.10646261     -1.6407  0.00185130
08.60694480      AP     SP   -791939264.0000   4694685696.0000  0.10941161     -9.0659  0.01499752
08.60972214      AA     AP       475437.4062     -1922884.8750  0.99947390     -0.3970  0.00105721
08.60972214      AA     SP   -788269120.0000   4693042176.0000  0.11959131     -0.9635  0.00196863
08.60972214      AP     SP   -788744576.0000   4694965248.0000  0.12388704    -11.8257  0.01410586
08.61250019      AA     SP   -785074496.0000   4693320704.0000  0.10298890     -0.5165  0.00168915
08.61250019      AP     SP   -785549440.0000   4695243776.0000  0.10479281     -7.9995  0.01662413
08.61527753      AA     SP   -781879488.0000   4693597696.0000  0.10105103     -0.7297  0.00168161
08.61527753      AP     SP   -782353856.0000   4695520768.0000  0.10175898     -2.7473  0.01586822
08.61805558      AA     AP       473867.1875     -1923388.3750  0.99947226     -0.4016  0.00105289
08.61805558      AA     SP   -778684032.0000   4693873664.0000  0.11081710     -0.1108  0.00181862
08.61805558      AP     SP   -779157888.0000   4695796736.0000  0.11230532     -8.1036  0.01518336
08.62083364      AA     AP       473343.2500     -1923555.7500  0.99944160     -0.3896  0.00105755
08.62083364      AA     SP   -775488192.0000   4694148096.0000  0.11251225      0.0670  0.00186351
08.62083364      AP     SP   -775961536.0000   4696071680.0000  0.11357545     11.0332  0.01487925
08.62361097      AA     SP   -772291904.0000   4694422016.0000  0.11179459     -0.0294  0.00178603
08.62361097      AP     SP   -772764736.0000   4696345600.0000  0.11348143      0.0594  0.01613952
08.62638903      AA     AP       472294.6875     -1923890.1250  0.99949280     -0.4306  0.00105391
08.62638903      AA     SP   -769095232.0000   4694694400.0000  0.10894003     -0.1196  0.00174063
08.62638903      AP     SP   -769567488.0000   4696618496.0000  0.11192410      2.9494  0.01585910
08.62916636      AA     AP       471770.0312     -1924057.0000  0.99941915     -0.4402  0.00105696
08.62916636      AA     SP   -765898112.0000   4694965760.0000  0.12122040      0.0281  0.00192631
08.62916636      AP     SP   -766369920.0000   4696889856.0000  0.11879260      1.2598  0.01436485
08.63194442      AA     AP       471245.0938     -1924223.7500  0.99948474     -0.4565  0.00105922
08.63194442      AA     SP   -762700608.0000   4695236096.0000  0.11633431      0.2085  0.00180919
08.63194442      AP     SP   -763171904.0000   4697160192.0000  0.11858083     15.5976  0.01532023
08.63472247      AA     AP       470719.9375     -1924390.3750  0.99947314     -0.4715  0.00104603
08.63472247      AA     SP   -759502720.0000   4695505408.0000  0.12014818     -0.0190  0.00187949
08.63472247      AP     SP   -759973440.0000   4697429504.0000  0.12515448     12.3281  0.01455790
08.63749981      AA     AP       470194.5312     -1924556.6250  0.99953430     -0.4910  0.00105661
08.63749981      AA     SP   -756304448.0000   4695773184.0000  0.13304426      0.5450  0.00198912
08.63749981      AP     SP   -756774656.0000   4697697792.0000  0.13329228     -5.5438  0.01389006
08.64027786      AA     AP       469668.9062     -1924722.8750  0.99944637     -0.4681  0.00107448
08.64027786      AA     SP   -753105728.0000   4696039936.0000  0.11415746      0.2946  0.00177225
08.64027786      AP     SP   -753575424.0000   4697965056.0000  0.11542932      2.0908  0.01583906
08.64305520      AA     AP       469143.0000     -1924888.8750  0.99952186     -0.4963  0.00104950
08.64305520      AA     SP   -749906624.0000   4696305664.0000  0.12310405      0.1755  0.00187378
08.64305520      AP     SP   -750375744.0000   4698230784.0000  0.12174363     -0.9237  0.01463289
08.64583325      AA     AP       468616.8438     -1925054.7500  0.99946027     -0.5002  0.00109738
08.64583325      AA     SP   -746707136.0000   4696570368.0000  0.12927158     -0.0228  0.00195133
08.64583325      AP     SP   -747175744.0000   4698495488.0000  0.13097512      1.9999  0.01466981
08.64861131      AA     AP       468090.4062     -1925220.3750  0.99948659     -0.5104  0.00114347
08.64861131      AA     SP   -743507200.0000   4696834048.0000  0.11776065      0.1249  0.00176561
08.64861131      AP     SP   -743975296.0000   4698759168.0000  0.12340748     -4.1143  0.01684561
08.65138865      AA     AP       467563.7500     -1925385.6250  0.99940783     -0.4790  0.00109467
08.65138865      AA     SP   -740306880.0000   4697096192.0000  0.13082840     -0.4686  0.00191856
08.65138865      AP     SP   -740774464.0000   4699021824.0000  0.13234287     10.5460  0.01488719
08.65416670      AA     AP       467036.8125     -1925551.0000  0.99941650     -0.4925  0.00113555
08.65416670      AA     SP   -737106240.0000   4697357824.0000  0.12846230      0.1789  0.00192497
08.65416670      AP     SP   -737573248.0000   4699282944.0000  0.13025098     -8.2848  0.01538240
08.65694475      AA     AP       466509.6562     -1925716.0000  0.99949110     -0.5103  0.00115570
08.65694475      AA     SP   -733905152.0000   4697617408.0000  0.13373360     -0.1045  0.00190047
08.65694475      AP     SP   -734371648.0000   4699543552.0000  0.13614391      2.6947  0.01584840
08.65972209      AA     AP       465982.2500     -1925880.7500  0.99946399     -0.5019  0.00117070
08.65972209      AA     SP   -730703680.0000   4697876480.0000  0.13411656     -0.6398  0.00194883
08.65972209      AP     SP   -731169728.0000   4699802624.0000  0.13622536      3.5213  0.01562407
08.66250014      AA     AP       465454.5938     -1926045.6250  0.99948809     -0.5170  0.00114036
08.66250014      AA     SP   -727501888.0000   4698134528.0000  0.13255708     -0.3922  0.00192363
08.66250014      AP     SP   -727967232.0000   4700060672.0000  0.13441608    -11.8427  0.01544486
08.66527748      AA     AP       464926.7500     -1926210.0000  0.99951883     -0.5435  0.00112920
08.66527748      AA     SP   -724299520.0000   4698391040.0000  0.12196281     -0.1069  0.00173921
08.66527748      AP     SP   -724764480.0000   4700317184.0000  0.12345562      9.1362  0.01693162
08.66805553      AA     AP       464398.5625     -1926374.3750  0.99957382     -0.5547  0.00110893
08.66805553      AA     SP   -721096896.0000   4698646528.0000  0.12476112     -0.2080  0.00176180
08.66805553      AP     SP   -721561280.0000   4700573696.0000  0.12498608      7.4221  0.01639811
08.67083359      AA     AP       463870.1250     -1926538.6250  0.99950221     -0.5567  0.00107789
08.67083359      AA     SP   -717893888.0000   4698900992.0000  0.13022884      0.5500  0.00176080
08.67083359      AP     SP   -718357760.0000   4700827648.0000  0.13047358     -1.7875  0.01594286
08.67361093      AA     AP       463341.5625     -1926702.3750  0.99954150     -0.5825  0.00106727
08.67361093      AA     SP   -714690560.0000   4699154432.0000  0.12366213      0.1806  0.00167011
08.67361093      AP     SP   -715153856.0000   4701081088.0000  0.12396115     -0.9670  0.01663750
08.67638898      AA     AP       462812.6562     -1926866.1250  0.99951618     -0.5775  0.00106393
08.67638898      AA     SP   -711486720.0000   4699406336.0000  0.12748416      0.3701  0.00174786
08.67638898      AP     SP   -711949504.0000   4701333504.0000  0.12843283      2.0943  0.01584179
08.67916632      AA     SP   -708282624.0000   4699657728.0000  0.13584502      0.2256  0.00184762
08.68194437      AA     SP   -705078016.0000   4699907584.0000  0.13872147      0.6214  0.00185396
08.68472242      AA     SP   -701873088.0000   4700156416.0000  0.13883862     -0.1917  0.00185665
08.68749976      AA     SP   -698667840.0000   4700403712.0000  0.13984526      0.8790  0.00184658
08.69027781      AA     SP   -695462144.0000   4700650496.0000  0.13980607     -0.0340  0.00184225
08.69305587      AA     SP   -692256128.0000   4700895744.0000  0.14297309      0.5078  0.00184525
08.69583321      AA     SP   -689049728.0000   4701139968.0000  0.13969949      0.0656  0.00184703
08.69861126      AA     SP   -685843008.0000   4701383168.0000  0.14166938      0.7386  0.00184708
08.70138860      AA     SP   -682635840.0000   4701624832.0000  0.14574010     -0.1787  0.00185107
08.70416665      AA     SP   -679428352.0000   4701865984.0000  0.14498759      0.3706  0.00184481
08.70694470      AA     SP   -676220544.0000   4702105600.0000  0.14279583     -0.0460  0.00184433
08.70972204      AA     SP   -673012288.0000   4702344192.0000  0.14509183     -0.2175  0.00184625
08.71250010      AA     SP   -669803776.0000   4702581248.0000  0.14681216      0.3604  0.00193668
08.71527743      AA     SP   -666594816.0000   4702818304.0000  0.14897292     -0.1751  0.00197100
08.90138912      AA     AZ   2572325120.0000  -3089244672.0000  0.13561245     -6.2135  0.00356005
08.90138912      AA     SP   -450875296.0000   4716058112.0000  0.16920577     -2.2435  0.00198933
08.90138912      AZ     LM   -375831360.0000    417960544.0000  0.91308498      1.1510  0.07099905
08.90138912      AZ     SP  -3023200512.0000   7805302784.0000  0.06165836    -18.9961  0.04749454
08.90138912      LM     SP  -2647369216.0000   7387342336.0000  0.06714540    -41.9482  0.03964633
