# SRC:SGRA DATE(MJD):57850 FREQ:228.1918GHz
# time(UTC)      T1     T2   U(lambda)        V(lambda)         Iamp(Jy)    Iphase(d)   Isigma(Jy)
04.04861104      AA     SP  -4370436096.0000   3037068800.0000  0.08744504      0.0265  0.00437190
04.04861104      AP     PV  -3468049664.0000  -5569759232.0000  0.01346831    -78.8134  0.01041298
04.04861104      AP     SP  -4371274240.0000   3038572288.0000  0.09492237      1.6797  0.02105891
04.04861104      PV     SP   -903224640.0000   8608331776.0000  0.05352008    174.0092  0.02382604
04.05138874      AA     AP       838199.8750     -1503301.6250  0.99971884      0.1506  0.00187134
04.05138874      AA     PV  -3469117952.0000  -5570134016.0000  0.01173522    -42.9385  0.00195673
04.05138874      AA     SP  -4369812992.0000   3038491392.0000  0.09198593      3.1310  0.00395366
04.05138874      AP     PV  -3469956096.0000  -5568630272.0000  0.01209697    -83.3161  0.01035290
04.05138874      AP     SP  -4370651136.0000   3039994880.0000  0.10297678     -8.5201  0.02090354
04.05138874      PV     SP   -900695424.0000   8608625664.0000  0.04448824    178.0433  0.02185331
04.05416679      AA     AP       838345.1875     -1503593.6250  0.99998638     -0.5266  0.00188277
04.05416679      AA     PV  -3471187712.0000  -5568907264.0000  0.01202486     10.3187  0.00148204
04.05416679      AA     SP  -4369133568.0000   3040037376.0000  0.06660377     -0.8011  0.00299065
04.05416679      AP     PV  -3472026112.0000  -5567403520.0000  0.01672899    -79.3730  0.01377818
04.05416679      AP     SP  -4369971712.0000   3041540864.0000  0.07094507      6.9799  0.02779293
04.05416679      PV     SP   -897945984.0000   8608945152.0000  0.02677749     30.4136  0.02186712
04.05694449      AA     AP       838489.8750     -1503885.7500  0.99980789      1.1912  0.00188138
04.05694449      AA     PV  -3473256192.0000  -5567678464.0000  0.01006707    -26.6355  0.00188542
04.05694449      AA     SP  -4368452608.0000   3041582848.0000  0.08066670      1.6602  0.00379951
04.05694449      AP     PV  -3474094592.0000  -5566174720.0000  0.00134351     79.4321  0.01084447
04.05694449      AP     SP  -4369290240.0000   3043086848.0000  0.08201193      3.7837  0.02183732
04.05694449      PV     SP   -895195968.0000   8609261568.0000  0.05731757     -9.9864  0.02188213
04.05972219      AA     AP       838634.1875     -1504177.8750  1.00000170      1.1329  0.00186050
04.05972219      AA     PV  -3475322368.0000  -5566449664.0000  0.01305763    -13.9059  0.00153322
04.05972219      AA     SP  -4367768064.0000   3043128320.0000  0.07218156      2.5256  0.00308557
04.05972219      AP     PV  -3476161280.0000  -5564945920.0000  0.00461242   -146.2357  0.01321517
04.05972219      AP     SP  -4368606720.0000   3044632576.0000  0.08587123     -3.0342  0.02657782
04.05972219      PV     SP   -892445504.0000   8609577984.0000  0.03733551    119.6634  0.02189713
04.06249988      AA     AP       838777.8125     -1504470.1250  0.99964142     -0.0052  0.00190347
04.06249988      AA     PV  -3477387008.0000  -5565220864.0000  0.01304012     -4.7613  0.00185055
04.06249988      AA     SP  -4367081472.0000   3044673536.0000  0.08532531     -3.3613  0.00371916
04.06249988      AP     PV  -3478226176.0000  -5563716608.0000  0.01520162    -31.4738  0.01122408
04.06249988      AP     SP  -4367920128.0000   3046178048.0000  0.08716391      3.6352  0.02254919
04.06249988      PV     SP   -889694528.0000   8609894400.0000  0.02437894     45.4745  0.02191210
04.06527793      AA     PV  -3479449856.0000  -5563990528.0000  0.01513769     28.9039  0.00187839
04.06527793      AA     SP  -4366393344.0000   3046218752.0000  0.07988932      2.0232  0.00377000
04.06527793      AP     PV  -3480289024.0000  -5562485760.0000  0.02750991    102.7878  0.01037651
04.06527793      AP     SP  -4367232000.0000   3047723264.0000  0.07854468     -8.5319  0.02080126
04.06527793      PV     SP   -886943040.0000   8610208768.0000  0.05630526    -15.3106  0.02192706
04.06805563      AA     AP       839063.4375     -1505054.8750  0.99963119     -1.2376  0.00185235
04.06805563      AA     PV  -3481510656.0000  -5562759680.0000  0.01553904     48.8389  0.00152622
04.06805563      AA     SP  -4365701632.0000   3047763200.0000  0.06458151     -4.5555  0.00305904
04.06805563      AP     PV  -3482350080.0000  -5561254400.0000  0.01923625     60.1616  0.01329797
04.06805563      AP     SP  -4366540800.0000   3049268224.0000  0.06298374     27.7264  0.02664392
04.06805563      PV     SP   -884191104.0000   8610522112.0000  0.05029853    -19.2665  0.02194199
04.07083333      AA     AP       839205.5000     -1505347.3750  0.99986895      0.5328  0.00189068
04.07083333      AA     PV  -3483569920.0000  -5561527808.0000  0.01420712    -13.8613  0.00215132
04.07083333      AA     SP  -4365008384.0000   3049307904.0000  0.09418519     -0.1725  0.00430614
04.07083333      AP     PV  -3484409088.0000  -5560023040.0000  0.02935949    -73.0833  0.00964887
04.07083333      AP     SP  -4365847552.0000   3050813184.0000  0.09351450     -0.8431  0.01930278
04.07083333      PV     SP   -881438720.0000   8610835456.0000  0.02214123     81.5647  0.02195690
04.07361102      AA     AP       839346.9375     -1505640.0000  0.99983335      0.7421  0.00184945
04.07361102      AA     PV  -3485627136.0000  -5560295936.0000  0.00738838    -63.0817  0.00190076
04.07361102      AA     SP  -4364313600.0000   3050852096.0000  0.08776207     -0.3184  0.00379948
04.07361102      AP     PV  -3486466560.0000  -5558789632.0000  0.00356839   -161.0869  0.01070418
04.07361102      AP     SP  -4365152256.0000   3052357632.0000  0.09215521    -15.9471  0.02138831
04.07361102      PV     SP   -878685888.0000   8611147776.0000  0.03212805   -158.4388  0.02197180
04.07638872      AA     AP       839487.8125     -1505932.7500  0.99959735     -0.3379  0.00185255
04.07638872      AA     PV  -3487682304.0000  -5559062528.0000  0.00580855     38.4898  0.00152332
04.07638872      AA     SP  -4363615232.0000   3052396032.0000  0.07298876     -0.4433  0.00304092
04.07638872      AP     PV  -3488521728.0000  -5557556224.0000  0.02941874    152.1149  0.01340610
04.07638872      AP     SP  -4364454400.0000   3053901824.0000  0.07052277     -9.7158  0.02674382
04.07638872      PV     SP   -875932608.0000   8611458048.0000  0.01816014    -12.4925  0.02198667
04.07916677      AA     AP       839628.1250     -1506225.5000  0.99991230      0.0579  0.00187257
04.07916677      AA     PV  -3489736192.0000  -5557828608.0000  0.01107673    -55.2545  0.00158456
04.07916677      AA     SP  -4362914816.0000   3053939456.0000  0.07232962      0.2855  0.00315891
04.07916677      AP     PV  -3490575872.0000  -5556322304.0000  0.02334564    -67.0145  0.01305418
04.07916677      AP     SP  -4363753984.0000   3055445760.0000  0.08526824     13.0064  0.02600045
04.07916677      PV     SP   -873178688.0000   8611768320.0000  0.04280870     17.1831  0.02200153
04.08194447      AA     AP       839767.9375     -1506518.3750  0.99992515      1.0096  0.00185892
04.08194447      AA     PV  -3491787520.0000  -5556594688.0000  0.00869418    -71.3028  0.00174254
04.08194447      AA     SP  -4362211840.0000   3055483136.0000  0.08173763     -6.8235  0.00347999
04.08194447      AP     PV  -3492627200.0000  -5555087872.0000  0.01321824     61.2896  0.01180700
04.08194447      AP     SP  -4363052032.0000   3056989184.0000  0.09109073     10.0351  0.02357099
04.08194447      PV     SP   -870424512.0000   8612076544.0000  0.01270878    -91.7289  0.02208453
04.08472216      AA     AP       839907.2500     -1506811.2500  0.99982832      0.4881  0.00186728
04.08472216      AA     PV  -3493837312.0000  -5555358720.0000  0.00742155   -102.8003  0.00136681
04.08472216      AA     SP  -4361506816.0000   3057026048.0000  0.06046725     -4.8992  0.00271754
04.08472216      AP     PV  -3494677504.0000  -5553851904.0000  0.01105513      7.8446  0.01515104
04.08472216      AP     SP  -4362347008.0000   3058532864.0000  0.05866288      7.3571  0.03010547
04.08472216      PV     SP   -867669632.0000   8612384768.0000  0.02437981      4.5993  0.02203117
04.08749986      AA     AP       840045.9375     -1507104.3750  0.99979454      0.2407  0.00185129
04.08749986      AA     PV  -3495885312.0000  -5554122752.0000  0.01012466   -162.4024  0.00179275
04.08749986      AA     SP  -4360800256.0000   3058568960.0000  0.08703459      2.1705  0.00355956
04.08749986      AP     PV  -3496725248.0000  -5552615936.0000  0.02113013    -75.6401  0.01147526
