# SRC:SGRA DATE(MJD):57850 FREQ:229.0707GHz
# time(UTC)      T1     T2   U(lambda)        V(lambda)         Iamp(Jy)    Iphase(d)   Isigma(Jy)
04.04861104      AA     AP       851683.4375     -1507486.3750  0.99928157      0.1231  0.00187102
04.04861104      AA     PV  -3483598592.0000  -5591853568.0000  0.01480263     10.2528  0.00190290
04.04861104      AA     SP  -4389093888.0000   3050803968.0000  0.08472389      2.3336  0.00385702
04.04861104      AP     SP  -4389945856.0000   3052311296.0000  0.08860253     11.6977  0.02144839
04.04861104      AP     PV  -3484450304.0000  -5590346240.0000  0.00734447    -14.0355  0.01061387
04.04861104      PV     SP   -905495296.0000   8642657280.0000  0.04879397     43.4181  0.02187192
04.05138874      AA     AP       851805.6250     -1507787.5000  0.99930883      0.2105  0.00186972
04.05138874      AA     PV  -3485669120.0000  -5590621184.0000  0.01631595     -0.2899  0.00193656
04.05138874      AA     SP  -4388402176.0000   3052355840.0000  0.08810415     -1.1220  0.00391965
04.05138874      AP     SP  -4389253632.0000   3053863680.0000  0.09933650    -11.9482  0.02107200
04.05138874      AP     PV  -3486520832.0000  -5589113344.0000  0.01956601    -30.7070  0.01044432
04.05138874      PV     SP   -902732864.0000   8642976768.0000  0.03967371    114.4009  0.02188813
04.05416679      AA     AP       851927.5000     -1508088.7500  0.99913618      0.2090  0.00188055
04.05416679      AA     PV  -3487737344.0000  -5589388288.0000  0.01377079      1.3284  0.00157506
04.05416679      AA     SP  -4387707392.0000   3053907456.0000  0.06929411      0.7369  0.00318384
04.05416679      AP     SP  -4388559360.0000   3055415552.0000  0.08364328      9.1350  0.02608206
04.05416679      AP     PV  -3488589568.0000  -5587880448.0000  0.00326327    -12.4699  0.01293991
04.05416679      PV     SP   -899969984.0000   8643296256.0000  0.02608192     28.8553  0.02190196
04.05694449      AA     AP       852048.8750     -1508390.0000  0.99913839      0.2305  0.00187690
04.05694449      AA     PV  -3489804288.0000  -5588154368.0000  0.01477305      0.4507  0.00187106
04.05694449      AA     SP  -4387011072.0000   3055459072.0000  0.08080828      1.9997  0.00377706
04.05694449      AP     SP  -4387863040.0000   3056967424.0000  0.08091538      8.3654  0.02191811
04.05694449      AP     PV  -3490656256.0000  -5586646528.0000  0.01648516     -4.4362  0.01089388
04.05694449      PV     SP   -897206656.0000   8643613696.0000  0.03625221    -30.7713  0.02191700
04.05972219      AA     AP       852169.7500     -1508691.3750  0.99921927      0.2538  0.00185651
04.05972219      AA     PV  -3491869184.0000  -5586920448.0000  0.01247052      6.8311  0.00140665
04.05972219      AA     SP  -4386311680.0000   3057010176.0000  0.06465305      0.7963  0.00283574
04.05972219      AP     SP  -4387164160.0000   3058518784.0000  0.07523499     -7.5469  0.02886658
04.05972219      AP     PV  -3492721152.0000  -5585411584.0000  0.00489625    139.7385  0.01436286
04.05972219      PV     SP   -894442688.0000   8643930112.0000  0.04302679    101.5418  0.02193202
04.06249988      AA     AP       852290.2500     -1508992.7500  0.99921970      0.2453  0.00190659
04.06249988      AA     PV  -3493932032.0000  -5585684992.0000  0.01359084      6.9863  0.00182772
04.06249988      AA     SP  -4385610240.0000   3058561024.0000  0.08293183      0.5759  0.00367961
04.06249988      AP     SP  -4386462720.0000   3060070144.0000  0.08587654      7.6613  0.02283460
04.06249988      AP     PV  -3494784512.0000  -5584176128.0000  0.01654846     -5.6570  0.01137484
04.06249988      PV     SP   -891678336.0000   8644246528.0000  0.02694059    -17.2450  0.02194702
04.06527793      AA     PV  -3495993344.0000  -5584449024.0000  0.01632860      0.8942  0.00188898
04.06527793      AA     SP  -4384906752.0000   3060111872.0000  0.07859782      2.0184  0.00379780
04.06527793      AP     SP  -4385759232.0000   3061620992.0000  0.08646298    -17.1193  0.02058407
04.06527793      AP     PV  -3496845824.0000  -5582940160.0000  0.01272764     81.5639  0.01027601
04.06527793      PV     SP   -888913536.0000   8644560896.0000  0.05660740      8.5362  0.02196200
04.06805563      AA     AP       852529.7500     -1509595.5000  0.99919043      0.2555  0.00185024
04.06805563      AA     PV  -3498052608.0000  -5583212544.0000  0.01433278     -9.8346  0.00151270
04.06805563      AA     SP  -4384200704.0000   3061662208.0000  0.06434000     -0.5996  0.00303718
04.06805563      AP     SP  -4385053184.0000   3063171840.0000  0.06252284     33.8168  0.02681160
04.06805563      AP     PV  -3498905088.0000  -5581703168.0000  0.01571954     32.5046  0.01339189
04.06805563      PV     SP   -886148224.0000   8644875264.0000  0.02726880     71.0224  0.02197696
